RMA ID,RMA Line,SO ID,SO Line,Invoice ID,Customer ID,Item ID,Rev,Item Name,Return Qty,Unit Price,RMA Status,Credit/Replace Option,Reason Code,Disc. %,Sales Tax,Extra Charges,Extra Charge Desc,Extended Amt,Project ID,Misc Line Description,Problem Desc.,Replacement Complete
RMA9999,1,,,,C1649,LN10RDL-MA-MTG214-30KS-50-10-SOFC-TRM,,NANOLED RND DN TRIMLESS-MATTE ANODIZED BAFFLE-MTG214-3000KS-50° DISTRIBUTION-WHITE-SOFC-TRIM,10,$154.4498,Closed,None,,0,$0.00,,,"$1,544.498",,,"SO#69467 / INV#85220, 85884 --  JOB CHANGES - NEED BLACK TRIMS – CAN NOT USE
REPL SO#77142 / INV#TBD -- CREDIT UPON RECEIPT IN BRAND NEW CONDITION   
50% RESTOCKING

",
RMA9999,2,,,,C1649,LN10RAL-MA-MTG214-30KS-25-10-TRM,,NANOLED ROUND ADJ TRIMLESS-MATTE ANODIZED BAFFLE-MTG214-3000KS-25° DISTRIBUTION-WHITE TRIM,6,$169.396,Closed,None,,0,$0.00,,,"$1,016.376",,,"SO#69467 / INV#85220, 85884 --  JOB CHANGES - NEED BLACK TRIMS – CAN NOT USE
REPL SO#77142 / INV#TBD -- CREDIT UPON RECEIPT IN BRAND NEW CONDITION   
50% RESTOCKING

",
RMA9998,1,,,,C1971,LEM-213-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT BASIC BEVELED STD CRI 3500K,3,$79.00,Closed,None,,0,$0.00,,,$237.00,,,"ORIG SO# 74684 / INV# 89585 -- REPORTED DEFECTIVE
REPL SO# 77588- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928
",
RMA9997,1,,,,C1415,SP-064-0500-2,,DRIVER REPLACEMENT BEVELED MINI NC HSG 20W 500mA-120V-277V-DIML2-TR,1,$41.00,Closed,None,,0,$0.00,,,$41.00,,,"ORIG SO#33956  / INV# 36397 -- REPORTED DEFECTIVE
REPL SO#77586  -- CREDIT UPON RECEIPT OF DEFECTIVE 
RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928
",
RMA9997,2,,,,C1415,LEM-203-00-30KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3000K,1,$79.00,Closed,None,,0,$0.00,,,$79.00,,,"ORIG SO#33956  / INV# 36397 -- REPORTED DEFECTIVE
REPL SO#77586 // 77965-- CREDIT UPON RECEIPT OF DEFECTIVE 
RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928
",
RMA9996,2,,,,C1248,SP-155-0350-2,,DRIVER REPLACEMENT- MINI NC1 14W 350mA 120V-277V-DIML2,2,$40.00,Closed,None,,0,$0.00,,,$80.00,,,"ORIG SO#76359  / INV# 91917 -- REPORTED DEFECTIVE
CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9996,1,,,,C1248,LEM-203-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3500K,2,$79.00,Closed,None,,0,$0.00,,,$158.00,,,"ORIG SO#76359  / INV# 91917 -- REPORTED DEFECTIVE
CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9995,1,,,,C1594,SP-160-0500-2,,DRIVER REPLACEMENT BEVELED MINI FT HSG 20W 500mA 120V-277V-DIML2-TR,4,$45.00,Closed,None,,1,$0.00,,,$0.00,,,"//ORIG SO66178 / INV78023 -- REPORTED DEFECTIVE
//REPL SO77585 / INV TBD -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
//NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928
//JOB:  ACCOMMODATION, JENNIFER BERNSTEIN Q31919 // 53 E 75TH ST. 1G",
RMA9994,2,,,,C2789,LEM-204-00-2722KS,,LIGHT ENGINE MODULE REPLACEMENT BEVELED WGD ADJ 30DEG 18W STD CRI 2700-2200K,1,$115.00,Closed,None,,0,$0.00,,,$115.00,,,"ORIG SO#50788  / INV# 58214 -- REPORTED DEFECTIVE
REPL SO#77581 -- CREDIT UPON RECEIPT OF DEFECTIVE 
RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9994,1,,,,C2789,SP-111-0350-7,,DRIVER REPLACEMENT BEVELED MINI NC HSG WGD1 12W  350mA 120V-277V DIML7-EL,1,$99.00,Closed,None,,0,$0.00,,,$99.00,,,"ORIG SO#50788  / INV# 58214 -- REPORTED DEFECTIVE
REPL SO#77581 -- CREDIT UPON RECEIPT OF DEFECTIVE 
RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9992,1,,,,C1578,SP-033-0500-2,,DRIVER REPLACEMENT NANO MTG-2 20W-500mA 120V-277V-DIML2-TR,18,$42.00,Closed,None,,0,$0.00,,,$756.00,,,"ORIG SO#38636  / INV#41535  -- REPORTED DEFECTIVE
REPL SO#77567  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9992,2,,,,C1578,LEM-203-00-30KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3000K,18,$79.00,Closed,None,,0,$0.00,,,"$1,422.00",,,"ORIG SO#38636  / INV#41535  -- REPORTED DEFECTIVE
REPL SO#77567  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9991,1,,,,C1599,LEM-240-00-30KH,,LIGHT ENGINE MODULE REPLACEMENT-BEVELED 2.1/2.2 9-33W 90CRI 3000K,1,$115.00,Closed,None,,0,$0.00,,,$115.00,,,"ORIG SO# 47443 / INV#53418  -- REPORTED DEFECTIVE
REPL SO#77557  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9990,1,,,,C1594,325RT-50-120V,,REC SLIDER RET-HSG G-WING,1,$0.00,Closed,None,,0,$0.00,,,$0.00,,,"No Charge REPLACEMENT. TO BE SENT TO FRANK FOR REVIEW
REPL SO#77554  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9989,2,,,,C1118,LEM-213-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT BASIC BEVELED STD CRI 3500K,1,$79.00,Closed,None,,0,$0.00,,,$79.00,,,"ORIG SO#68005  / INV#79845  -- REPORTED DEFECTIVE
REPL SO#77551  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9989,1,,,,C1118,SP-062-0500-2,,DRIVER REPLACEMENT BEVELED BASIC NCSM HSG 20 WATT 500mA-120V-277V-DIML2-TR,1,$33.00,Closed,None,,0,$0.00,,,$33.00,,,"ORIG SO#68005  / INV#79845  -- REPORTED DEFECTIVE
REPL SO#77551  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9988,1,,,,C2753,LEM-213-00-30KS,,LIGHT ENGINE MODULE REPLACEMENT BASIC BEVELED STD CRI 3000K,8,$79.00,Closed,None,,0,$0.00,,,$632.00,,,"ORIG SO#72309  / INV#86101  -- REPORTED DEFECTIVE
REPL SO#77550  / INVTBD#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9987,2,,,,C4537,W2-066F,F,"CONNECTOR HARNESS - 15""ZE 2 POS PLENUM RATED JACKETED CABLE-BEVELED",1,$7.00,Closed,None,,0,$0.00,,,$7.00,,,"ORIG SO#76594  / INV#93031  -- REPORTED DEFECTIVE
REPL SO#77546  / INV# TBD -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9987,1,,,,C4537,LEM-203-00-30KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3000K,1,$79.00,Closed,None,,0,$0.00,,,$79.00,,,"ORIG SO#76594  / INV#93031  -- REPORTED DEFECTIVE
REPL SO#77546  / INV# TBD -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9986,1,,,,C1745,LEM-203-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3500K,1,$79.00,Closed,None,,0,$0.00,,,$79.00,,,"ORIG SO#72681 / INV#88569  -- REPORTED DEFECTIVE
REPL SO#77542  / INV#TBD  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9985,2,,,,C4460,LEM-213-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT BASIC BEVELED STD CRI 3500K,1,$79.00,Closed,None,,0,$0.00,,,$79.00,,,"ORIG SO#69992  / INV#83224  -- REPORTED DEFECTIVE
REPL SO#77535  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928
",
RMA9985,1,,,,C4460,LEM-203-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3500K,3,$79.00,Closed,None,,0,$0.00,,,$237.00,,,"ORIG SO#69992  / INV#83224  -- REPORTED DEFECTIVE
REPL SO#77535  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928
",
RMA9984,3,,,,C4272,2221-B1-S-10,,BEVELED MINI TRIMMED ROUND DOWNLIGHT-DIE CAST BEVEL WHITE-SOLITE LENS,1,$68.00,Closed,None,,0,$0.00,,,$68.00,,,"ORIG SO#74892  / INV#90007  -- REPORTED DEFECTIVE
REPL SO#77531  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9984,1,,,,C4272,SP-155-0500-2-EML,,DRIVER REPLACEMENT- MINI NC1 20W 500mA 120V-277V-DIML2-EML,1,$39.00,Closed,None,,0,$0.00,,,$39.00,,,"ORIG SO#74892  / INV#90007  -- REPORTED DEFECTIVE
REPL SO#77531  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9984,2,,,,C4272,LEM-203-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3500K,1,$79.00,Closed,None,,0,$0.00,,,$79.00,,,"ORIG SO#74892  / INV#90007  -- REPORTED DEFECTIVE
REPL SO#77531  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9983,1,,,,C1218,SP-062-0500-2,,DRIVER REPLACEMENT BEVELED BASIC NCSM HSG 20 WATT 500mA-120V-277V-DIML2-TR,3,$33.00,Closed,None,,0,$0.00,,,$99.00,,,"ORIG SO#77522  / INV# TBD -- REPORTED DEFECTIVE
- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9982,1,,,,C4545,3311-AC1-S,,BEVELED 2.1 SQUARE DOWNLIGHT TRIMLESS-CLEAR MATTE ANODIZED SOLITE LENS,8,$0.00,Closed,None,,0,$0.00,,,$0.00,,,"ORIG SO#74598  / INV#91830  -- FACTORY ERROR -  INCORRECT TRIMS SHIPPED  -- NO RESTOCKING
RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
RMA9981,1,,,,C3824,LBRP64-9032-CSD1-28-28-10-6022KS-60-SOF-SM-120V-DIML2-010V,,"BEVELED 2.1 PENDANT 32W-METALIZED GREY-10"" OAL-6000-2200KS-60°-SOF-SM-120V-DIML2-010V",1,$415.00,Closed,None,,0,$0.00,,,$415.00,,,"ORIG SO# 62286 / INV#72216  -- REPORTED DEFECTIVE
REPL SO#77515  / INV#  -- CREDIT UPON RECEIPT OF DEFECTIVE UNIT  
NO RESTOCKING  -  RETURN USING USAI’S UPS ACCOUNT NUMBER 6X7928",
