"","RMA.ID","code","Return.Qty"
"1","RMA13532","SHIP",314
"2","RMA13419","OTHER",150
"3","RMA13366","ASS",128
"4","RMA13538","CRO",100
"5","RMA13393","CRO",80
"6","RMA13494","PAC",63
"7","RMA13476","CRO",62
"8","RMA13517","CRO",61
"9","RMA13471","ELE",58
"10","RMA13535","ELE",48
"11","RMA13497","ELE",42
"12","RMA13429","OTHER",40
"13","RMA13500","ELE",36
"14","RMA13469","ELE",35
"15","RMA13541","SHIP",35
"16","RMA13372","ELE",32
"17","RMA13525","ELE",30
"18","RMA13361","OTHER",27
"19","RMA13385","ELE",27
"20","RMA13423","SHIP",21
"21","RMA13365","ELE",20
"22","RMA13470","ELE",20
"23","RMA13496","CNN",20
"24","RMA13408","CRO",19
"25","RMA13360","OE",18
"26","RMA13364","ELE",16
"27","RMA13397","ELE",16
"28","RMA13445","CRO",16
"29","RMA13473","SHIP",16
"30","RMA13395","ELE",15
"31","RMA13521","CNN",14
"32","RMA13378","ELE",13
"33","RMA13466","ELE",13
"34","RMA13350","CRO",12
"35","RMA13417","ELE",12
"36","RMA13437","ELE",12
"37","RMA13462","SHIP",12
"38","RMA13498","ELE",12
"39","RMA13526","ELE",12
"40","RMA13528","ELE",12
"41","RMA13545","CRO",12
"42","RMA13468","COS",11
"43","RMA13487","ELE",11
"44","RMA13506","ELE",11
"45","RMA13531","ELE",11
"46","RMA13446","ELE",10
"47","RMA13547","COS",10
"48","RMA13459","CNN",9
"49","RMA13382","ELE",8
"50","RMA13387","ELE",8
"51","RMA13452","CNN",8
"52","RMA13511","OE",8
"53","RMA13410","ELE",7
"54","RMA13415","ELE",7
"55","RMA13449","OTHER",7
"56","RMA13381","ELE",6
"57","RMA13386","OTHER",6
"58","RMA13450","CNN",6
"59","RMA13463","ELE",6
"60","RMA13491","ELE",6
"61","RMA13492","ELE",6
"62","RMA13539","ELE",6
"63","RMA13542","ELE",6
"64","RMA13546","ELE",6
"65","RMA13414","ELE",5
