"","LED","Month","Return_Qty"
"1","LED-336-S00-RGB30","April",1
"2","LED-336-S00-RGB30","August",2
"3","LED-336-S00-RGB30","February",2
"4","LED-336-S00-RGB30","November",1
"5","LED-336-S00-RGB30","September",1
"6","LED-326-S00-35","March",2
"7","LED-326-S00-35","November",2
"8","LED-326-S00-30","August",4
"9","LED-326-S00-30","December",9
"10","LED-326-S00-30","June",5
"11","LED-326-S00-30","September",1
"12","LED-326-S00-27","December",1
"13","LED-326-H00-35","August",1
"14","LED-319-U00-30","February",1
"15","LED-319-U00-27","October",1
"16","LED-319-S00-35","August",16
"17","LED-319-S00-35","December",3
"18","LED-319-S00-35","January",1
"19","LED-319-S00-35","July",1
"20","LED-319-S00-35","June",3
"21","LED-319-S00-35","May",1
"22","LED-319-S00-35","November",1
"23","LED-319-S00-30","August",3
"24","LED-319-S00-30","December",4
"25","LED-319-S00-30","July",5
"26","LED-319-S00-30","March",5
"27","LED-319-S00-30","November",1
"28","LED-319-H00-35","December",1
"29","LED-319-H00-30","August",1
"30","LED-319-H00-30","December",4
"31","LED-319-H00-30","February",2
"32","LED-319-H00-30","January",3
"33","LED-319-H00-30","November",1
"34","LED-319-H00-30","September",35
"35","LED-319-H00-27","January",3
"36","LED-313-S00-3522","May",1
"37","LED-313-S00-3022","August",6
"38","LED-313-S00-3022","December",1
"39","LED-313-S00-3022","June",2
"40","LED-313-S00-3022","September",1
"41","LED-313-S00-2722","April",1
"42","LED-313-H00-3022","December",1
"43","LED-313-H00-3022","July",2
"44","LED-313-H00-3022","March",4
"45","LED-313-H00-3022","November",1
"46","LED-313-H00-3022","September",9
"47","LED-307-S00-35","April",1
"48","LED-307-S00-35","August",11
"49","LED-307-S00-35","December",1
"50","LED-307-S00-35","July",2
"51","LED-307-S00-35","March",1
"52","LED-307-S00-35","May",1
"53","LED-307-S00-35","November",5
"54","LED-307-S00-35","September",3
"55","LED-307-S00-30","April",9
"56","LED-307-S00-30","August",1
"57","LED-307-S00-30","December",23
"58","LED-307-S00-30","February",26
"59","LED-307-S00-30","January",23
"60","LED-307-S00-30","July",5
"61","LED-307-S00-30","June",2
"62","LED-307-S00-30","November",1
"63","LED-307-S00-30","October",1
"64","LED-307-S00-30","September",1
"65","LED-307-H00-35","December",715
"66","LED-307-H00-35","October",3
"67","LED-307-H00-30","August",39
"68","LED-307-H00-30","January",5
"69","LED-307-H00-30","March",9
"70","LED-307-H00-30","November",1
"71","LED-307-H00-27","July",4
"72","LED-307-H00-27","March",1
"73","LED-307-H00-27","May",2
"74","LED-307-H00-27","November",4
"75","LED-293-S00-40","December",1
"76","LED-293-S00-40","January",1
"77","LED-293-S00-40","June",3
"78","LED-293-S00-40","March",1
"79","LED-293-S00-35","August",5
"80","LED-293-S00-35","July",8
"81","LED-293-S00-30","October",1
"82","LED-293-S00-27","May",3
"83","LED-293-S00-27","October",1
"84","LED-293-H00-35","June",2
"85","LED-293-H00-35","March",1
"86","LED-293-H00-30","September",2
"87","LED-281-S00-2722","February",3
"88","LED-281-S00-2722","May",1
"89","LED-281-H00-3022","June",1
"90","LED-281-H00-2722","May",1
"91","LED-275-S70-3522","September",1
"92","LED-275-S70-3022","August",5
"93","LED-275-S70-3022","October",3
"94","LED-275-S70-2722","December",3
"95","LED-275-S70-2722","October",4
"96","LED-275-S70-2722","September",4
"97","LED-275-S35-2722","October",1
"98","LED-275-H70-2722","February",1
"99","LED-275-H70-2722","January",1
"100","LED-275-H70-2722","March",3
"101","LED-275-H70-2722","October",3
"102","LED-275-H35-3022","February",2
"103","LED-275-H35-3022","January",1
"104","LED-274-S00-40","May",1
"105","LED-274-S00-35","January",1
"106","LED-274-S00-35","June",1
"107","LED-274-S00-35","March",1
"108","LED-274-S00-35","May",1
"109","LED-274-S00-30","April",2
"110","LED-274-S00-30","August",2
"111","LED-274-S00-30","February",1
"112","LED-274-S00-30","July",1
"113","LED-274-S00-30","June",4
"114","LED-274-S00-27","August",1
"115","LED-274-S00-27","January",1
"116","LED-274-S00-27","June",1
"117","LED-274-H00-35","March",4
"118","LED-274-H00-30","July",1
"119","LED-274-H00-30","November",1
"120","LED-274-H00-30","September",1
"121","LED-274-H00-27","January",4
"122","LED-274-H00-27","July",1
"123","LED-274-H00-27","November",1
"124","LED-274-H00-27","September",1
"125","LED-273-S00-RGB30","April",10
"126","LED-273-S00-RGB30","August",2
"127","LED-273-S00-RGB30","December",1
"128","LED-273-S00-RGB30","January",3
"129","LED-273-S00-RGB30","July",1
"130","LED-273-S00-RGB30","June",6
"131","LED-273-S00-RGB30","March",1
"132","LED-273-S00-RGB30","November",5
"133","LED-273-S00-RGB30","October",2
"134","LED-255-H00-30","August",1
"135","LED-240-S00-40","August",32
"136","LED-240-S00-40","February",1
"137","LED-240-S00-40","January",1
"138","LED-240-S00-40","July",2
"139","LED-240-S00-40","March",1
"140","LED-240-S00-40","November",15
"141","LED-240-S00-40","September",16
"142","LED-240-S00-35","April",82
"143","LED-240-S00-35","August",24
"144","LED-240-S00-35","December",71
"145","LED-240-S00-35","February",9
"146","LED-240-S00-35","January",135
"147","LED-240-S00-35","July",10
"148","LED-240-S00-35","June",45
"149","LED-240-S00-35","March",12
"150","LED-240-S00-35","May",21
"151","LED-240-S00-35","November",27
"152","LED-240-S00-35","October",82
"153","LED-240-S00-35","September",56
"154","LED-240-S00-30","April",34
"155","LED-240-S00-30","August",21
"156","LED-240-S00-30","December",30
"157","LED-240-S00-30","February",21
"158","LED-240-S00-30","January",13
"159","LED-240-S00-30","July",5
"160","LED-240-S00-30","June",24
"161","LED-240-S00-30","March",179
"162","LED-240-S00-30","May",3
"163","LED-240-S00-30","November",15
"164","LED-240-S00-30","October",13
"165","LED-240-S00-30","September",10
"166","LED-240-S00-27","April",9
"167","LED-240-S00-27","August",1
"168","LED-240-S00-27","February",158
"169","LED-240-S00-27","January",2
"170","LED-240-S00-27","July",4
"171","LED-240-S00-27","March",11
"172","LED-240-S00-27","November",3
"173","LED-240-S00-27","October",10
"174","LED-240-H01-40","June",3
"175","LED-240-H01-35","January",1
"176","LED-240-H01-35","July",1
"177","LED-240-H01-35","June",1
"178","LED-240-H01-35","November",13
"179","LED-240-H01-35","September",30
"180","LED-240-H00-30","August",1
"181","LED-240-H00-30","December",3
"182","LED-240-H00-30","February",15
"183","LED-240-H00-30","January",15
"184","LED-240-H00-30","July",1
"185","LED-240-H00-30","June",135
"186","LED-240-H00-30","March",6
"187","LED-240-H00-30","May",143
"188","LED-240-H00-30","November",3
"189","LED-240-H00-30","September",1
"190","LED-240-H00-27","August",8
"191","LED-240-H00-27","February",7
"192","LED-240-H00-27","January",9
"193","LED-240-H00-27","May",7
"194","LED-239-S00-40","February",1
"195","LED-239-S00-35","September",3
"196","LED-239-S00-27","February",232
"197","LED-239-S00-27","July",5
"198","LED-239-H00-27","June",1
"199","LED-236-S00-35","September",2
"200","LED-236-S00-30","December",1
"201","LED-236-S00-30","January",2
"202","LED-234-S00-3022","August",1
"203","LED-230-S02-30","January",7
"204","LED-230-S02-27","March",3
"205","LED-230-S01-30","January",2
"206","LED-230-H02-27","December",14
"207","LED-219-S00-6022","December",3
"208","LED-219-S00-6022","February",1
"209","LED-219-S00-6022","July",5
"210","LED-219-S00-6022","June",4
"211","LED-219-S00-6022","March",1
"212","LED-219-S00-6022","October",2
"213","LED-219-S00-6022","September",1
"214","LED-218-S00-35","February",4
"215","LED-218-S00-35","June",2
"216","LED-218-S00-35","March",3
"217","LED-218-S00-30","February",1
"218","LED-213-S00-40","April",1
"219","LED-213-S00-40","January",1
"220","LED-213-S00-40","July",1
"221","LED-213-S00-40","June",1
"222","LED-213-S00-40","March",1
"223","LED-213-S00-35","April",4
"224","LED-213-S00-35","August",32
"225","LED-213-S00-35","December",8
"226","LED-213-S00-35","February",8
"227","LED-213-S00-35","January",10
"228","LED-213-S00-35","July",30
"229","LED-213-S00-35","June",6
"230","LED-213-S00-35","March",8
"231","LED-213-S00-35","May",9
"232","LED-213-S00-35","November",10
"233","LED-213-S00-35","October",27
"234","LED-213-S00-35","September",45
"235","LED-213-S00-30","April",13
"236","LED-213-S00-30","August",12
"237","LED-213-S00-30","December",1
"238","LED-213-S00-30","February",3
"239","LED-213-S00-30","January",29
"240","LED-213-S00-30","June",1
"241","LED-213-S00-30","March",2
"242","LED-213-S00-30","May",5
"243","LED-213-S00-30","November",5
"244","LED-213-S00-27","February",4
"245","LED-213-S00-27","July",1
"246","LED-213-S00-27","October",15
