"","LED","Month","LEM_Acct_Val","Return_Qty"
"1","LED-336-S00-RGB30","April",30.48,1
"2","LED-336-S00-RGB30","August",30.48,2
"3","LED-336-S00-RGB30","February",30.48,2
"4","LED-336-S00-RGB30","November",30.48,1
"5","LED-336-S00-RGB30","September",30.48,1
"6","LED-326-S00-35","March",11.81,2
"7","LED-326-S00-35","November",11.81,2
"8","LED-326-S00-30","August",11.81,4
"9","LED-326-S00-30","December",11.81,9
"10","LED-326-S00-30","June",11.81,5
"11","LED-326-S00-30","September",11.81,1
"12","LED-326-S00-27","December",11.81,1
"13","LED-326-H00-35","August",11.81,1
"14","LED-319-U00-30","February",11.91,1
"15","LED-319-U00-27","October",11.91,1
"16","LED-319-S00-35","August",11.61,16
"17","LED-319-S00-35","December",11.61,3
"18","LED-319-S00-35","January",11.61,1
"19","LED-319-S00-35","July",11.61,1
"20","LED-319-S00-35","June",11.61,3
"21","LED-319-S00-35","May",11.61,1
"22","LED-319-S00-35","November",11.61,1
"23","LED-319-S00-30","August",11.61,3
"24","LED-319-S00-30","December",11.61,4
"25","LED-319-S00-30","July",11.61,5
"26","LED-319-S00-30","March",11.61,5
"27","LED-319-S00-30","November",11.61,1
"28","LED-319-H00-35","December",11.61,1
"29","LED-319-H00-30","August",11.61,1
"30","LED-319-H00-30","December",11.61,4
"31","LED-319-H00-30","February",11.61,2
"32","LED-319-H00-30","January",11.61,3
"33","LED-319-H00-30","November",11.61,1
"34","LED-319-H00-30","September",11.61,35
"35","LED-319-H00-27","January",11.61,3
"36","LED-313-S00-3522","May",25.93,1
"37","LED-313-S00-3022","August",25.93,6
"38","LED-313-S00-3022","December",25.93,1
"39","LED-313-S00-3022","June",25.93,2
"40","LED-313-S00-3022","September",25.93,1
"41","LED-313-S00-2722","April",25.93,1
"42","LED-313-H00-3022","December",25.93,1
"43","LED-313-H00-3022","July",25.93,2
"44","LED-313-H00-3022","March",25.93,4
"45","LED-313-H00-3022","November",25.93,1
"46","LED-313-H00-3022","September",25.93,9
"47","LED-307-S00-35","April",4.13,1
"48","LED-307-S00-35","August",4.13,11
"49","LED-307-S00-35","December",4.13,1
"50","LED-307-S00-35","July",4.13,2
"51","LED-307-S00-35","March",4.13,1
"52","LED-307-S00-35","May",4.13,1
"53","LED-307-S00-35","November",4.13,5
"54","LED-307-S00-35","September",4.13,3
"55","LED-307-S00-30","April",4.13,9
"56","LED-307-S00-30","August",4.13,1
"57","LED-307-S00-30","December",4.13,23
"58","LED-307-S00-30","February",4.13,26
"59","LED-307-S00-30","January",4.13,23
"60","LED-307-S00-30","July",4.13,5
"61","LED-307-S00-30","June",4.13,2
"62","LED-307-S00-30","November",4.13,1
"63","LED-307-S00-30","October",4.13,1
"64","LED-307-S00-30","September",4.13,1
"65","LED-307-H00-35","December",4.13,715
"66","LED-307-H00-35","October",4.13,3
"67","LED-307-H00-30","August",4.13,39
"68","LED-307-H00-30","January",4.13,5
"69","LED-307-H00-30","March",4.13,9
"70","LED-307-H00-30","November",4.13,1
"71","LED-307-H00-27","July",4.16,4
"72","LED-307-H00-27","March",4.16,1
"73","LED-307-H00-27","May",4.16,2
"74","LED-307-H00-27","November",4.16,4
"75","LED-293-S00-40","December",25.86,1
"76","LED-293-S00-40","January",25.86,1
"77","LED-293-S00-40","June",25.86,3
"78","LED-293-S00-40","March",25.86,1
"79","LED-293-S00-35","August",25.86,5
"80","LED-293-S00-35","July",25.86,8
"81","LED-293-S00-30","October",25.86,1
"82","LED-293-S00-27","May",25.86,3
"83","LED-293-S00-27","October",25.86,1
"84","LED-293-H00-35","June",25.86,2
"85","LED-293-H00-35","March",25.86,1
"86","LED-293-H00-30","September",25.86,2
"87","LED-281-S00-2722","February",13.07,3
"88","LED-281-S00-2722","May",13.07,1
"89","LED-281-H00-3022","June",13.37,1
"90","LED-281-H00-2722","May",13.37,1
