"","E2","Month","SP_Acct_Val","Return_Qty"
"1","E2-989","March",49.74,4
"2","E2-988","March",49.74,4
"3","E2-983","April",19.64,2
"4","E2-983","February",19.64,4
"5","E2-983","February",20.58,2
"6","E2-983","February",20.76,5
"7","E2-983","January",20.58,3
"8","E2-983","June",19.64,2
"9","E2-983","March",19.64,10
"10","E2-944","June",42.3,4
"11","E2-909","April",28.15,2
"12","E2-909","February",24.43,6
"13","E2-909","February",28.15,1
"14","E2-909","June",27.13,1
"15","E2-909","June",28.15,1
"16","E2-909","May",27.13,2
"17","E2-908","February",24.52,1
"18","E2-908","June",24.52,4
"19","E2-907","April",23.35,2
"20","E2-907","February",25.71,1
"21","E2-907","January",23.35,1
"22","E2-907","June",23.01,1
"23","E2-907","June",24.04,3
"24","E2-907","June",37.94,1
"25","E2-906","April",23.35,1
"26","E2-906","April",26.34,2
"27","E2-906","February",22.94,7
"28","E2-906","February",23.43,1
"29","E2-906","February",24.04,2
"30","E2-906","February",26.34,1
"31","E2-906","January",23.35,3
"32","E2-906","January",23.49,13
"33","E2-906","June",22.94,1
"34","E2-906","June",23.08,8
"35","E2-906","June",23.35,1
"36","E2-906","June",23.43,2
"37","E2-906","June",23.44,1
"38","E2-906","June",23.56,4
"39","E2-906","June",26.34,2
"40","E2-906","June",36.07,3
"41","E2-906","March",23.08,4
"42","E2-906","March",23.35,18
"43","E2-906","March",23.43,1
"44","E2-906","March",24.04,1
"45","E2-906","May",23.31,1
"46","E2-906","May",23.43,1
"47","E2-901","April",32.69,2
"48","E2-901","January",32.69,2
"49","E2-901","January",33.18,1
"50","E2-901","May",32.69,2
"51","E2-892","April",44.95,5
"52","E2-891","June",42.3,12
"53","E2-891","June",42.82,4
"54","E2-890","January",45.29,1
"55","E2-887","April",20.64,3
"56","E2-887","February",20.64,2
"57","E2-887","January",20.64,1
"58","E2-887","January",21.58,1
"59","E2-887","January",22.41,3
"60","E2-887","June",20.64,7
"61","E2-887","June",22.41,2
"62","E2-887","March",16.13,1
"63","E2-887","March",20.64,7
