E2 Driver,January,,February,,March,,April,,May,,,,,,,,
Row Labels,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,,,,,,,
E2-1013,0,0,4,247.76,1,53.94,8,473.92,20,1182.8,,,,,,,
E2-283,1,24.5,0,0,13,282.37,0,0,0,0,,,,,,,
E2-284,0,0,0,0,0,0,1,31.4684,0,0,,,,,,,
E2-388,0,0,6,140.26,0,0,21,451.08,2,45.2,,,,,,,
E2-389,2,35.96,3,59.23,0,0,8,166.112,29,702.58,,,,,,,
E2-402,0,0,1,25.22,0,0,0,0,0,0,,,,,,,
E2-404,23,423.59,12,218.47,30,541.26,26,473.15,13,233.67,,,,,,,
E2-405,18,573.48,0,0,0,0,0,0,4,107.52,,,,,,,
E2-409,1,32.73,0,0,0,0,0,0,0,0,,,,,,,
E2-417,3,120.87,0,0,0,0,2,80.58,0,0,,,,,,,
E2-419,0,0,0,0,5,303.25,1,60.65,0,0,,,,,,,
E2-454,0,0,4,217.88,0,0,2,108.94,2,98.3194,,,,,,,
E2-455,0,0,1,63.67,0,0,0,0,0,0,,,,,,,
E2-468,4,207,2,110.84,0,0,15,778.38,0,0,,,,,,,
E2-469,0,0,0,0,13,984.83,1,73.32,0,0,,,,,,,
E2-486,2,135.78,0,0,0,0,0,0,1,67.89,,,,,,,
E2-488,0,0,2,104.52,0,0,0,0,0,0,,,,,,,
E2-490,0,0,2,123.98,0,0,0,0,0,0,,,,,,,
E2-491,10,608,0,0,0,0,0,0,0,0,,,,,,,
E2-493,0,0,0,0,4,231.08,0,0,0,0,,,,,,,
E2-516,0,0,0,0,0,0,2,73.4422,0,0,,,,,,,
E2-520,1,49.7,2,74,0,0,2,86.9889,0,0,,,,,,,
E2-526,62,1621.82,98,1971.04,160,3417.6,9,221.35,20,877.6328,,,,,,,
E2-527,52,942.2,2,46.18,33,736.77,4,93.16,12,241.92,,,,,,,
E2-533,0,0,0,0,1,32.56,0,0,0,0,,,,,,,
E2-552,0,0,0,0,0,0,0,0,2,53.5305,,,,,,,
E2-569,0,0,0,0,0,0,1,93.845,0,0,,,,,,,
E2-573,0,0,0,0,10,1123.6,0,0,0,0,,,,,,,
E2-610,3,154.32,0,0,3,155.28,0,0,7,356.0401,,,,,,,
E2-618,0,0,0,0,1,54.46,0,0,0,0,,,,,,,
E2-622,8,379.68,0,0,0,0,0,0,0,0,,,,,,,
E2-652,0,0,1,57.52,0,0,0,0,0,0,,,,,,,
E2-676,1,52.28,0,0,0,0,0,0,0,0,,,,,,,
E2-696,1,55.2,0,0,0,0,0,0,1,54.97,,,,,,,
E2-698,2,45.64,0,0,0,0,0,0,0,0,,,,,,,
E2-701,0,0,0,0,1,24.41,31,665.846,1,21.3812,,,,,,,
E2-702,0,0,1,23.86,0,0,0,0,3,120.2748,,,,,,,
E2-703,0,0,0,0,0,0,1,22.82,0,0,,,,,,,
E2-707,0,0,2,51.28,3,77.69,4,101.678,5,129.0785,,,,,,,
E2-708,0,0,0,0,1,22.71,0,0,0,0,,,,,,,
E2-709,0,0,0,0,0,0,1,22.2879,1,22.9029,,,,,,,
E2-710,0,0,0,0,0,0,1,21.4777,0,0,,,,,,,
E2-721,9,336.91,9,398.41,1,33.33,3,90.4457,0,0,,,,,,,
E2-732,0,0,8,192,0,0,16,384,0,0,,,,,,,
E2-733,0,0,0,0,0,0,0,0,33,993.63,,,,,,,
E2-735,0,0,0,0,0,0,12,296.5524,2,46.483,,,,,,,
E2-739,2,45.46,1,22.73,0,0,0,0,0,0,,,,,,,
E2-765,0,0,2,59.9,0,0,1,29.4359,0,0,,,,,,,
E2-774,0,0,0,0,1,28.38,0,0,0,0,,,,,,,
E2-783,0,0,2,46.38,1,37.13,1,27.61,0,0,,,,,,,
E2-786,2,36.24,0,0,2,45.88,1,22.72,0,0,,,,,,,
E2-801,1,93.56,0,0,0,0,0,0,0,0,,,,,,,
E2-804,0,0,0,0,6,92.88,0,0,0,0,,,,,,,
E2-821,0,0,0,0,0,0,3,101.0691,0,0,,,,,,,
E2-838,0,0,0,0,0,0,0,0,1,16.19,,,,,,,
E2-877,8,170.82,10,195.61,51,1123.08,25,538.944,10,212.75,,,,,,,
E2-887,5,109.45,2,41.28,18,383.88,3,61.92,1,20.64,,,,,,,
E2-890,1,45.29,0,0,0,0,0,0,0,0,,,,,,,
E2-892,0,0,0,0,0,0,5,224.75,0,0,,,,,,,
E2-901,3,98.56,0,0,0,0,2,65.38,2,65.38,,,,,,,
E2-906,16,375.42,11,258.43,24,560.09,3,76.03,2,46.7408,,,,,,,
E2-907,1,23.35,1,25.71,0,0,2,46.7,2,48.08,,,,,,,
E2-908,0,0,1,24.52,0,0,0,0,0,0,,,,,,,
E2-909,0,0,7,174.73,0,0,2,56.3,0,0,,,,,,,
E2-983,3,61.74,11,223.52,10,196.4,2,39.275,0,0,,,,,,,
E2-988,0,0,0,0,4,198.96,0,0,0,0,,,,,,,
E2-989,0,0,0,0,4,198.96,0,0,0,0,,,,,,,
