"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","SP_Price","CostToReplace"
"1",2,31,"E2-701","6E",410.75,665.846,1405,739.154
"2",7,26,"E2-404","2",319.8,473.15,1005,531.85
"3",4,25,"E2-877","22",299.71,538.944,1124,585.056
"4",6,22,"E2-526","2",345.84,523.16,1022,498.84
"5",5,21,"E2-388","2",266.07,451.08,931,479.92
"6",1,16,"E2-732","6E",240,384,832,448
"7",2,15,"E2-468","3",680.85,778.38,1719,940.62
"8",1,12,"E2-735","19",227.5416,296.5524,600,303.4476
"9",1,8,"E2-389","2",113.6688,166.112,352,185.888
"10",1,5,"E2-1013","23X2",200,312.1,665,352.9
"11",1,5,"E2-892","4E",175.95,224.75,490,265.25
"12",2,4,"E2-527","2",57.24,93.16,212,118.84
"13",1,4,"E2-707","2",58.2216,101.678,220,118.322
"14",3,3,"E2-1013","23X1",120,161.82,336,174.18
"15",2,3,"E2-721","19",55.9281,90.4457,181,90.5543
"16",1,3,"E2-821","6A",72,101.0691,225,123.9309
"17",2,3,"E2-887","22",36.57,61.92,117,55.08
"18",2,3,"E2-906","6E",39.75,76.03,161,84.97
"19",1,2,"E2-417","2",35.3,80.58,174,93.42
"20",1,2,"E2-454","3",90.78,108.94,230,121.06
"21",1,2,"E2-516","6A",46,73.4422,158,84.5578
"22",2,2,"E2-520","7",53,86.9889,232,145.0111
"23",1,2,"E2-901","6A",46,65.38,140,74.62
"24",1,2,"E2-907","6E",26.5,46.7,106,59.3
"25",2,2,"E2-909","6E",30,56.3,122,65.7
"26",1,2,"E2-983","22",22.386,39.275,88,48.725
"27",1,1,"E2-284","2",23.46,31.4684,66,34.5316
"28",1,1,"E2-419","4",53.55,60.65,135,74.35
"29",1,1,"E2-469","4",66.3,73.32,127,53.68
"30",1,1,"E2-569","6B",85.28,93.845,220,126.155
"31",1,1,"E2-703","6E",13.25,22.82,64,41.18
"32",1,1,"E2-709","6F",13.25,22.2879,48,25.7121
"33",1,1,"E2-710","6F",13.25,21.4777,53,31.5223
"34",1,1,"E2-765","6E",13.5,29.4359,64,34.5641
"35",1,1,"E2-783","6E",15,27.61,65,37.39
"36",1,1,"E2-786","6E",13.25,22.72,46,23.28
