,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_Cost
1,1,30,E2-701,6E,13.25,21.3812,641.436
2,6,25,E2-404,2,12.3,17.95,448.75
3,1,16,E2-732,6E,15,24,384
4,3,14,E2-388,2,12.67,22.6,316.4
5,2,13,E2-877,22,11.99,22.16,288.08
6,1,12,E2-468,3,45.39,51.68,620.16
7,1,12,E2-735,19,18.9618,24.7127,296.5524
8,1,10,E2-877,22,11.986,21.0004,210.004
9,1,8,E2-389,2,14.2086,20.764,166.112
10,2,7,E2-388,2,12.67,19.24,134.68
11,1,5,E2-1013,23X2,40,62.42,312.1
12,1,5,E2-892,4E,35.19,44.95,224.75
13,3,4,E2-526,2,15.72,27.37,109.48
14,1,4,E2-707,2,14.5554,25.4195,101.678
15,3,3,E2-1013,23X1,40,53.94,161.82
16,1,3,E2-468,3,45.39,52.74,158.22
17,1,3,E2-526,2,15.72,21.37,64.11
18,1,3,E2-821,6A,24,33.6897,101.0691
19,2,3,E2-887,22,12.19,20.64,61.92
20,1,2,E2-417,2,17.65,40.29,80.58
21,1,2,E2-454,3,45.39,54.47,108.94
22,1,2,E2-516,6A,23,36.7211,73.4422
23,2,2,E2-526,2,15.72,23.88,47.76
24,1,2,E2-527,2,14.31,23.09,46.18
25,1,2,E2-527,2,14.31,23.49,46.98
26,1,2,E2-721,19,18.96,31.58,63.16
27,1,2,E2-877,22,11.99,20.43,40.86
28,1,2,E2-901,6A,23,32.69,65.38
29,1,2,E2-906,6E,13.25,26.34,52.68
30,1,2,E2-907,6E,13.25,23.35,46.7
31,2,2,E2-909,6E,15,28.15,56.3
32,1,2,E2-983,22,11.193,19.6375,39.275
33,1,1,E2-284,2,23.46,31.4684,31.4684
34,1,1,E2-404,2,12.3,24.4,24.4
35,1,1,E2-419,4,53.55,60.65,60.65
36,1,1,E2-469,4,66.3,73.32,73.32
37,1,1,E2-520,7,26.5,36.1496,36.1496
38,1,1,E2-520,7,26.5,50.8393,50.8393
39,1,1,E2-569,6B,85.28,93.845,93.845
40,1,1,E2-701,6E,13.25,24.41,24.41
41,1,1,E2-703,6E,13.25,22.82,22.82
42,1,1,E2-709,6F,13.25,22.2879,22.2879
43,1,1,E2-710,6F,13.25,21.4777,21.4777
44,1,1,E2-721,19,18.0081,27.2857,27.2857
45,1,1,E2-765,6E,13.5,29.4359,29.4359
46,1,1,E2-783,6E,15,27.61,27.61
47,1,1,E2-786,6E,13.25,22.72,22.72
48,1,1,E2-906,6E,13.25,23.35,23.35
,,,,,,Total,6161.6282
