,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_Cost
1,3,67,E2-526,2,15.72,19.49,1305.83
2,1,30,E2-526,2,15.72,21.37,641.1
3,2,11,E2-404,2,12.3,17.95,197.45
4,1,8,E2-732,6E,15,24,192
5,2,7,E2-906,6E,13.25,22.94,160.58
6,1,6,E2-909,6F,15,24.43,146.58
7,3,5,E2-388,2,12.67,22.6,113
8,1,5,E2-877,22,11.99,22.11,110.55
9,1,5,E2-983,22,11.19,20.76,103.8
10,1,4,E2-1013,23X1,40,61.94,247.76
11,1,4,E2-454,3,45.39,54.47,217.88
12,1,4,E2-877,22,11.99,15.92,63.68
13,1,4,E2-983,22,11.19,19.64,78.56
14,1,3,E2-721,19,18.96,28.47,85.41
15,1,3,E2-721,19,18.96,29.01,87.03
16,1,2,E2-389,2,14.21,17.98,35.96
17,2,2,E2-468,3,45.39,55.42,110.84
18,1,2,E2-488,3,45.39,52.26,104.52
19,1,2,E2-490,4,50.75,61.99,123.98
20,1,2,E2-527,2,14.31,23.09,46.18
21,1,2,E2-707,2,14.56,25.64,51.28
22,1,2,E2-721,4,18.96,89.84,179.68
23,1,2,E2-765,6F,13.5,29.95,59.9
24,1,2,E2-887,22,12.19,20.64,41.28
25,1,2,E2-906,6E,13.25,24.04,48.08
26,1,2,E2-983,22,11.19,20.58,41.16
27,1,1,E2-388,2,12.67,27.26,27.26
28,1,1,E2-389,2,14.21,23.27,23.27
29,1,1,E2-402,10,18.55,25.22,25.22
30,1,1,E2-404,2,12.3,21.02,21.02
31,1,1,E2-455,4,53.55,63.67,63.67
32,1,1,E2-520,7,26.5,36.55,36.55
33,1,1,E2-520,7,26.5,37.45,37.45
34,1,1,E2-526,2,15.72,24.11,24.11
35,1,1,E2-652,4H,45.39,57.52,57.52
36,1,1,E2-702,6E,13.25,23.86,23.86
37,1,1,E2-721,2,18.96,46.29,46.29
38,1,1,E2-739,6E,15,22.73,22.73
39,1,1,E2-783,6E,15,18.77,18.77
40,1,1,E2-783,6E,15,27.61,27.61
41,1,1,E2-877,22,11.99,21.38,21.38
42,1,1,E2-906,6E,13.25,23.43,23.43
43,1,1,E2-906,6E,13.25,26.34,26.34
44,1,1,E2-907,6E,13.25,25.71,25.71
45,1,1,E2-908,6E,13.25,24.52,24.52
46,1,1,E2-909,6E,15,28.15,28.15
,,,,,,Total:,5198.93
