,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_Cost
1,1,51,E2-527,SP,14.31,18.12,924.12
2,2,34,E2-526,2,15.72,27.82,945.88
3,2,21,E2-404,2,12.3,17.95,376.95
4,1,18,E2-405,9,18.55,31.86,573.48
5,2,17,E2-526,2,15.72,19.49,331.33
6,1,10,E2-491,4,50.75,60.8,608
7,1,8,E2-622,2M,40,47.46,379.68
8,1,6,E2-877,22,11.99,21.38,128.28
9,1,6,E2-906,6E,13.25,23.49,140.94
10,1,6,E2-906,6E,13.25,23.49,140.94
11,2,5,E2-526,2,15.72,21.37,106.85
12,1,5,E2-721,2,18.96,46.29,231.45
13,1,4,E2-526,2,15.72,21.21,84.84
14,1,3,E2-417,2,17.65,40.29,120.87
15,1,3,E2-610,23X1,40,51.44,154.32
16,1,3,E2-721,1,18.96,25.29,75.87
17,1,3,E2-887,22,12.19,22.41,67.23
18,2,3,E2-906,6E,13.25,23.35,70.05
19,1,3,E2-983,22,11.19,20.58,61.74
20,1,2,E2-389,2,14.21,17.98,35.96
21,1,2,E2-468,3,45.39,51.68,103.36
22,1,2,E2-468,3,45.39,51.82,103.64
23,2,2,E2-486,3,45.39,67.89,135.78
24,1,2,E2-526,4,15.72,76.46,152.92
25,1,2,E2-698,6E,13.25,22.82,45.64
26,1,2,E2-739,6E,15,22.73,45.46
27,1,2,E2-786,6E,13.25,18.12,36.24
28,1,2,E2-901,6A,23,32.69,65.38
29,1,1,E2-283,2,14.57,24.5,24.5
30,1,1,E2-404,2,12.3,22.24,22.24
31,1,1,E2-404,2,12.3,24.4,24.4
32,1,1,E2-409,6A,25,32.73,32.73
33,1,1,E2-520,7,26.5,49.7,49.7
34,1,1,E2-527,2,14.31,18.08,18.08
35,1,1,E2-676,4H,45.39,52.28,52.28
36,1,1,E2-696,4H,45.39,55.2,55.2
37,1,1,E2-721,19,18.96,29.59,29.59
38,1,1,E2-801,3,24,93.56,93.56
39,1,1,E2-877,22,11.99,20.43,20.43
40,1,1,E2-877,22,11.99,22.11,22.11
41,1,1,E2-887,22,12.19,20.64,20.64
42,1,1,E2-887,22,12.19,21.58,21.58
43,1,1,E2-890,4E,35.19,45.29,45.29
44,1,1,E2-901,6A,23,33.18,33.18
45,1,1,E2-906,6F,13.25,23.49,23.49
46,1,1,E2-907,6E,13.25,23.35,23.35
,,,,,,Total:,6859.55
