"","E2","Month","Return_Qty","Total_Cost"
"1","E2-989","March",4,198.96
"2","E2-988","March",4,198.96
"3","E2-983","April",2,39.28
"4","E2-983","February",11,223.52
"5","E2-983","January",3,61.74
"6","E2-983","June",2,39.28
"7","E2-983","March",10,196.4
"8","E2-944","June",4,169.2
"9","E2-909","April",2,56.3
"10","E2-909","February",7,174.73
"11","E2-909","June",2,55.28
"12","E2-909","May",2,54.26
"13","E2-908","February",1,24.52
"14","E2-908","June",4,98.08
"15","E2-907","April",2,46.7
"16","E2-907","February",1,25.71
"17","E2-907","January",1,23.35
"18","E2-907","July",8,201.65
"19","E2-907","June",5,133.07
"20","E2-906","April",3,76.03
"21","E2-906","February",11,258.43
"22","E2-906","January",16,375.42
"23","E2-906","July",37,881.65
"24","E2-906","June",22,556.36
"25","E2-906","March",24,560.09
"26","E2-906","May",2,46.74
"27","E2-901","April",2,65.38
"28","E2-901","January",3,98.56
"29","E2-901","May",2,65.38
"30","E2-892","April",5,224.75
"31","E2-891","June",16,678.88
"32","E2-890","January",1,45.29
"33","E2-887","April",3,61.92
"34","E2-887","February",2,41.28
"35","E2-887","January",5,109.45
"36","E2-887","July",5,104.97
"37","E2-887","June",9,189.3
"38","E2-887","March",18,383.88
"39","E2-887","May",1,20.64
"40","E2-885","June",40,1692
"41","E2-877","April",25,538.94
"42","E2-877","February",10,195.61
"43","E2-877","January",8,170.82
"44","E2-877","July",5,107.44
"45","E2-877","June",5,94.26
"46","E2-877","March",51,1123.08
"47","E2-877","May",10,212.75
"48","E2-844","June",1,54.31
"49","E2-838","May",1,16.19
"50","E2-821","April",3,101.07
"51","E2-804","July",52,828.36
"52","E2-804","March",6,92.88
"53","E2-801","January",1,93.56
"54","E2-786","April",1,22.72
"55","E2-786","January",2,36.24
"56","E2-786","July",50,1136
"57","E2-786","June",1,22.96
"58","E2-786","March",2,45.88
"59","E2-783","April",1,27.61
"60","E2-783","February",2,46.38
"61","E2-783","June",1,27.61
"62","E2-783","March",1,37.13
"63","E2-774","March",1,28.38
"64","E2-767","June",1,30.18
"65","E2-765","April",1,29.44
"66","E2-765","February",2,59.9
"67","E2-739","February",1,22.73
"68","E2-739","January",2,45.46
"69","E2-735","April",12,296.52
"70","E2-735","June",1,28.24
"71","E2-735","May",2,46.48
"72","E2-733","June",13,391.43
"73","E2-733","May",33,993.63
"74","E2-732","April",16,384
"75","E2-732","February",8,192
"76","E2-732","July",1,28.77
"77","E2-732","June",2,48
