,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_Cost
1,2,69,E2-526,2,15.72,19.49,1344.81
2,2,69,E2-526,2,15.72,21.37,1474.53
3,2,35,E2-877,22,11.99,22.11,773.85
4,1,23,E2-404,2,12.3,17.95,412.85
5,3,23,E2-527,2,14.31,23.09,531.07
6,1,19,E2-526,2,15.72,27.36,519.84
7,3,18,E2-906,6E,13.25,23.35,420.3
8,2,12,E2-283,2,14.57,21.14,253.68
9,2,10,E2-527,2,14.31,20.57,205.7
10,1,10,E2-573,3,45.39,112.36,1123.6
11,1,10,E2-983,22,11.19,19.64,196.4
12,1,9,E2-469,4,66.3,76.59,689.31
13,2,9,E2-877,22,11.99,22.16,199.44
14,1,9,E2-887,22,12.19,22.41,201.69
15,4,7,E2-887,22,12.19,20.64,144.48
16,1,6,E2-804,21,6.32,15.48,92.88
17,2,6,E2-877,22,11.99,21.56,129.36
18,1,5,E2-419,4,53.55,60.65,303.25
19,1,4,E2-404,2,12.3,17.95,71.8
20,1,4,E2-493,4,50.75,57.77,231.08
21,2,4,E2-906,6E,13.25,23.08,92.32
22,1,4,E2-988,28,24.75,49.74,198.96
23,1,4,E2-989,28,24.75,49.74,198.96
24,1,3,E2-404,2,12.3,18.87,56.61
25,1,2,E2-469,4,66.3,72.92,145.84
26,1,2,E2-469,4,66.3,74.84,149.68
27,2,2,E2-526,2,15.72,28.6,57.2
28,2,2,E2-610,23X2,40,51.92,103.84
29,1,2,E2-707,2,14.56,25.64,51.28
30,1,2,E2-786,6E,13.25,22.94,45.88
31,1,1,E2-1013,23X1,40,53.94,53.94
32,1,1,E2-283,2,14.57,28.69,28.69
33,1,1,E2-526,2,15.72,21.22,21.22
34,1,1,E2-533,6B,23,32.56,32.56
35,1,1,E2-610,23X1,40,51.44,51.44
36,1,1,E2-618,3,45.39,54.46,54.46
37,1,1,E2-701,6E,13.25,24.41,24.41
38,1,1,E2-707,2,14.56,26.41,26.41
39,1,1,E2-708,6F,13.25,22.71,22.71
40,1,1,E2-721,19,18.96,33.33,33.33
41,1,1,E2-774,19,18.89,28.38,28.38
42,1,1,E2-783,6E,15,37.13,37.13
43,1,1,E2-877,22,11.99,20.43,20.43
44,1,1,E2-887,22,12.19,16.13,16.13
45,1,1,E2-887,22,12.19,21.58,21.58
46,1,1,E2-906,6E,13.25,23.43,23.43
47,1,1,E2-906,6E,13.25,24.04,24.04
,,,,,,Total,10940.78
