E2 Part Number,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost,Qty,Cost
E2-1013,0,0,4,61.94,1,53.94,8,116.36,20,115.88,,,,,,,,,,,,,,
E2-283,1,24.5,0,0,13,49.83,0,0,0,0,,,,,,,,,,,,,,
E2-284,0,0,0,0,0,0,1,31.4684,0,0,,,,,,,,,,,,,,
E2-388,0,0,6,49.86,0,0,21,41.84,2,22.6,,,,,,,,,,,,,,
E2-389,2,17.98,3,41.25,0,0,8,20.764,29,52.09,,,,,,,,,,,,,,
E2-402,0,0,1,25.22,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-404,23,64.59,12,38.97,30,54.77,26,42.35,13,36.06,,,,,,,,,,,,,,
E2-405,18,31.86,0,0,0,0,0,0,4,26.88,,,,,,,,,,,,,,
E2-409,1,32.73,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-417,3,40.29,0,0,0,0,2,40.29,0,0,,,,,,,,,,,,,,
E2-419,0,0,0,0,5,60.65,1,60.65,0,0,,,,,,,,,,,,,,
E2-454,0,0,4,54.47,0,0,2,54.47,2,49.1597,,,,,,,,,,,,,,
E2-455,0,0,1,63.67,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-468,4,103.5,2,55.42,0,0,15,104.42,0,0,,,,,,,,,,,,,,
E2-469,0,0,0,0,13,224.35,1,73.32,0,0,,,,,,,,,,,,,,
E2-486,2,67.89,0,0,0,0,0,0,1,67.89,,,,,,,,,,,,,,
E2-488,0,0,2,52.26,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-490,0,0,2,61.99,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-491,10,60.8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-493,0,0,0,0,4,57.77,0,0,0,0,,,,,,,,,,,,,,
E2-516,0,0,0,0,0,0,2,36.7211,0,0,,,,,,,,,,,,,,
E2-520,1,49.7,2,74,0,0,2,86.9889,0,0,,,,,,,,,,,,,,
E2-526,62,166.35,98,64.97,160,118.04,9,72.62,20,108.2569,,,,,,,,,,,,,,
E2-527,52,36.2,2,23.09,33,43.66,4,46.58,12,61.74,,,,,,,,,,,,,,
E2-533,0,0,0,0,1,32.56,0,0,0,0,,,,,,,,,,,,,,
E2-552,0,0,0,0,0,0,0,0,2,53.5305,,,,,,,,,,,,,,
E2-569,0,0,0,0,0,0,1,93.845,0,0,,,,,,,,,,,,,,
E2-573,0,0,0,0,10,112.36,0,0,0,0,,,,,,,,,,,,,,
E2-610,3,51.44,0,0,3,103.36,0,0,7,98.8401,,,,,,,,,,,,,,
E2-618,0,0,0,0,1,54.46,0,0,0,0,,,,,,,,,,,,,,
E2-622,8,47.46,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-652,0,0,1,57.52,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-676,1,52.28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-696,1,55.2,0,0,0,0,0,0,1,54.97,,,,,,,,,,,,,,
E2-698,2,22.82,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-701,0,0,0,0,1,24.41,31,45.7912,1,21.3812,,,,,,,,,,,,,,
E2-702,0,0,1,23.86,0,0,0,0,3,40.0916,,,,,,,,,,,,,,
E2-703,0,0,0,0,0,0,1,22.82,0,0,,,,,,,,,,,,,,
E2-707,0,0,2,25.64,3,52.05,4,25.4195,5,51.8295,,,,,,,,,,,,,,
E2-708,0,0,0,0,1,22.71,0,0,0,0,,,,,,,,,,,,,,
E2-709,0,0,0,0,0,0,1,22.2879,1,22.9029,,,,,,,,,,,,,,
E2-710,0,0,0,0,0,0,1,21.4777,0,0,,,,,,,,,,,,,,
E2-721,9,101.17,9,193.61,1,33.33,3,58.8657,0,0,,,,,,,,,,,,,,
E2-732,0,0,8,24,0,0,16,24,0,0,,,,,,,,,,,,,,
E2-733,0,0,0,0,0,0,0,0,33,30.11,,,,,,,,,,,,,,
E2-735,0,0,0,0,0,0,12,24.7127,2,23.2415,,,,,,,,,,,,,,
E2-739,2,22.73,1,22.73,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-765,0,0,2,29.95,0,0,1,29.4359,0,0,,,,,,,,,,,,,,
E2-774,0,0,0,0,1,28.38,0,0,0,0,,,,,,,,,,,,,,
E2-783,0,0,2,46.38,1,37.13,1,27.61,0,0,,,,,,,,,,,,,,
E2-786,2,18.12,0,0,2,22.94,1,22.72,0,0,,,,,,,,,,,,,,
E2-801,1,93.56,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-804,0,0,0,0,6,15.48,0,0,0,0,,,,,,,,,,,,,,
E2-821,0,0,0,0,0,0,3,33.6897,0,0,,,,,,,,,,,,,,
E2-838,0,0,0,0,0,0,0,0,1,16.19,,,,,,,,,,,,,,
E2-877,8,63.92,10,59.41,51,86.26,25,63.5904,10,64.7,,,,,,,,,,,,,,
E2-887,5,64.63,2,20.64,18,80.76,3,20.64,1,20.64,,,,,,,,,,,,,,
E2-890,1,45.29,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-892,0,0,0,0,0,0,5,44.95,0,0,,,,,,,,,,,,,,
E2-901,3,65.87,0,0,0,0,2,32.69,2,32.69,,,,,,,,,,,,,,
E2-906,16,93.82,11,96.75,24,93.9,3,49.69,2,46.7408,,,,,,,,,,,,,,
E2-907,1,23.35,1,25.71,0,0,2,23.35,2,24.04,,,,,,,,,,,,,,
E2-908,0,0,1,24.52,0,0,0,0,0,0,,,,,,,,,,,,,,
E2-909,0,0,7,52.58,0,0,2,28.15,0,0,,,,,,,,,,,,,,
E2-983,3,20.58,11,60.98,10,19.64,2,19.6375,0,0,,,,,,,,,,,,,,
E2-988,0,0,0,0,4,49.74,0,0,0,0,,,,,,,,,,,,,,
E2-989,0,0,0,0,4,49.74,0,0,0,0,,,,,,,,,,,,,,
