"","LED","Month","LEM_Acct_Val","Return_Qty"
"1","LEM-240-00-22KS","April",15.68,2
"2","LED-401-H00-3018","March",6.04,1
"3","LED-397-S00-6022","January",21.46,1
"4","LED-336-S00-RGB30","June",30.48,1
"5","LED-336-S00-RGB30","March",30.48,1
"6","LED-326-S00-35","March",11.81,3
"7","LED-326-S00-30","February",11.81,16
"8","LED-326-S00-30","January",11.81,27
"9","LED-326-S00-30","June",11.81,1
"10","LED-326-S00-30","March",11.81,11
"11","LED-326-H00-30","February",11.81,1
"12","LED-319-S00-35","April",11.61,1
"13","LED-319-S00-35","February",11.61,9
"14","LED-319-S00-35","June",11.61,1
"15","LED-319-S00-35","March",11.61,1
"16","LED-319-S00-35","May",11.61,1
"17","LED-319-S00-30","April",11.61,22
"18","LED-319-S00-30","January",11.61,1
"19","LED-319-S00-30","June",11.61,2
"20","LED-319-S00-30","March",11.61,4
"21","LED-319-S00-30","May",11.61,4
"22","LED-319-S00-27","June",11.61,1
"23","LED-319-H00-30","April",11.61,1
"24","LED-319-H00-30","February",11.61,10
"25","LED-319-H00-30","June",11.61,2
"26","LED-319-H00-27","February",11.61,6
"27","LED-319-H00-27","May",11.61,2
"28","LED-313-S00-3022","February",25.93,1
"29","LED-313-S00-3022","June",25.93,4
"30","LED-313-S00-3022","March",25.93,1
"31","LED-313-S00-2722","May",25.93,1
"32","LED-313-H00-3022","April",25.93,2
"33","LED-313-H00-3022","January",25.93,2
"34","LED-313-H00-3022","June",25.93,1
"35","LED-313-H00-2722","March",25.93,5
"36","LED-307-S00-40","March",4.13,25
"37","LED-307-S00-35","April",4.13,16
"38","LED-307-S00-35","February",4.13,1
"39","LED-307-S00-35","January",4.13,1
"40","LED-307-S00-35","June",4.13,2
"41","LED-307-S00-35","March",4.13,10
"42","LED-307-S00-35","May",4.13,1
"43","LED-307-S00-30","April",4.13,20
"44","LED-307-S00-30","February",4.13,2
"45","LED-307-S00-30","January",4.13,28
"46","LED-307-S00-30","June",4.13,5
"47","LED-307-S00-30","March",4.13,30
"48","LED-307-S00-30","May",4.13,1
"49","LED-307-S00-27","April",4.13,6
"50","LED-307-S00-27","May",4.13,7
"51","LED-307-H00-35","April",4.13,34
"52","LED-307-H00-30","January",4.13,2
"53","LED-307-H00-30","May",4.13,15
"54","LED-307-H00-27","March",4.16,1
"55","LED-293-S00-40","March",25.86,1
"56","LED-293-S00-35","June",25.86,3
"57","LED-293-S00-35","March",25.86,1
"58","LED-293-S00-30","April",25.86,1
"59","LED-293-S00-27","June",25.86,3
"60","LED-293-S00-27","May",25.86,5
"61","LED-293-H00-27","February",25.86,1
"62","LED-281-S00-2722","June",13.07,6
"63","LED-281-H00-3022","March",13.37,1
"64","LED-276-H70-3022","April",29.14,2
"65","LED-275-S70-3022","February",29.11,1
"66","LED-275-H35-2722","May",29.08,2
"67","LED-274-S00-30","March",12.34,1
"68","LED-273-S00-RGB30","April",45.91,2
"69","LED-273-S00-RGB30","February",45.91,1
"70","LED-273-S00-RGB30","January",45.91,8
"71","LED-273-S00-RGB30","June",45.91,6
"72","LED-273-S00-RGB30","March",45.91,2
"73","LED-255-H00-30","May",15.15,1
"74","LED-250-C00-A1","April",33.48,4
"75","LED-240-S00-40","February",15.71,25
"76","LED-240-S00-40","January",15.71,7
"77","LED-240-S00-40","June",15.71,7
"78","LED-240-S00-35","February",15.71,28
"79","LED-240-S00-35","January",15.71,12
"80","LED-240-S00-35","June",15.71,27
"81","LED-240-S00-35","March",15.71,71
"82","LED-240-S00-35","May",15.71,20
"83","LED-240-S00-30","April",15.71,41
"84","LED-240-S00-30","February",15.71,5
"85","LED-240-S00-30","January",15.71,9
"86","LED-240-S00-30","June",15.71,64
"87","LED-240-S00-30","March",15.71,52
"88","LED-240-S00-30","May",15.71,4
