"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","LEM_Price","CostToReturn"
"1",5,57,"LED-203-30","NANO/MINI",666.9,715.9884,1710,994.0116
"2",5,41,"LED-240-S00-30","BEVELED 2.1",565.8,644.069,1640,995.931
"3",2,34,"LED-307-H00-35","BEVELED PRIMARY",96.4104,140.5118,850,709.4882
"4",2,23,"LED-213-S00-35","BEVELED BASIC",269.1,313.007,690,376.993
"5",4,22,"LED-319-S00-30","BEVELED MINI",225.5,255.5058,770,514.4942
"6",2,20,"LED-307-S00-30","BEVELED PRIMARY",56.712,82.654,400,317.346
"7",2,17,"LED-219-S00-6022","BEVELED COLOR SELECT",341.7,352.325,1020,667.675
"8",2,16,"LED-307-S00-35","BEVELED PRIMARY",45.3696,66.1232,320,253.8768
"9",1,11,"LED-203-40","NANO/MINI",128.7,138.1732,330,191.8268
"10",2,9,"LED-203-27-HI","NANO/MINI",105.3,111.4866,315,203.5134
"11",1,6,"LED-204-S00-2722","BEVELED WGD",86.52,90.27,240,149.73
"12",2,6,"LED-307-S00-27","BEVELED PRIMARY",17.0136,24.7962,120,95.2038
"13",2,5,"LED-212-S00-6022","BEVELED 2.1",107.5,117.045,375,257.955
"14",2,4,"LED-203-30-HI","NANO/MINI",46.8,49.5496,140,90.4504
"15",1,4,"LED-203-35","NANO/MINI",46.8,50.2448,120,69.7552
"16",1,4,"LED-250-C00-A1",NA,126.3984,133.9236,320,186.0764
"17",2,3,"LED-240-H00-27","BEVELED 2.1",41.4,47.127,135,87.873
"18",1,2,"LED-203-27","NANO/MINI",23.4,25.1224,60,34.8776
"19",1,2,"LED-204-H00-3022","BEVELED WGD",28.86,30.4576,90,59.5424
"20",1,2,"LED-273-S00-RGB30","BEVELED 2.1",88,91.818,180,88.182
"21",1,2,"LED-276-H70-3022","BEVELED 2.2 WGD",54.4,58.2706,128,69.7294
"22",1,2,"LED-313-H00-3022","BEVELED MINI WGD",50.6,51.85,112,60.15
"23",2,2,"LEM-240-00-22KS","BEVELED 2.1",31.3626,31.3626,80,48.6374
"24",1,1,"LED-198-H70-3022","BEVELED 2.0 WGD",30.98,32.889,75,42.111
"25",1,1,"LED-213-S00-27","BEVELED BASIC",11.7,13.609,30,16.391
"26",1,1,"LED-213-S00-30","BEVELED BASIC",11.7,13.609,30,16.391
"27",1,1,"LED-218-S00-30","BEVELED",39.85,42.3491,90,47.6509
"28",1,1,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,40,24.291
"29",1,1,"LED-293-S00-30","BEVELED 2.1",23.95,25.859,65,39.141
"30",1,1,"LED-319-H00-30","BEVELED MINI",10.55,11.6139,40,28.3861
"31",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,35,23.3861
