"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val"
"1",5,57,"LED-203-30","NANO/MINI",11.7,12.5612
"2",5,41,"LED-240-S00-30","BEVELED 2.1",13.8,15.709
"3",2,34,"LED-307-H00-35","BEVELED PRIMARY",2.8356,4.1327
"4",2,23,"LED-213-S00-35","BEVELED BASIC",11.7,13.609
"5",4,22,"LED-319-S00-30","BEVELED MINI",10.25,11.6139
"6",2,20,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327
"7",2,17,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.725
"8",2,16,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327
"9",1,11,"LED-203-40","NANO/MINI",11.7,12.5612
"10",2,9,"LED-203-27-HI","NANO/MINI",11.7,12.3874
"11",1,6,"LED-204-S00-2722","BEVELED WGD",14.42,15.045
"12",2,6,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327
"13",2,5,"LED-212-S00-6022","BEVELED 2.1",21.5,23.409
"14",2,4,"LED-203-30-HI","NANO/MINI",11.7,12.3874
"15",1,4,"LED-203-35","NANO/MINI",11.7,12.5612
"16",1,4,"LED-250-C00-A1",NA,31.5996,33.4809
"17",2,3,"LED-240-H00-27","BEVELED 2.1",13.8,15.709
"18",1,2,"LED-203-27","NANO/MINI",11.7,12.5612
"19",1,2,"LED-204-H00-3022","BEVELED WGD",14.43,15.2288
"20",1,2,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909
"21",1,2,"LED-276-H70-3022","BEVELED 2.2 WGD",27.2,29.1353
"22",1,2,"LED-313-H00-3022","BEVELED MINI WGD",25.3,25.925
"23",2,2,"LEM-240-00-22KS","BEVELED 2.1",15.6813,15.6813
"24",1,1,"LED-198-H70-3022","BEVELED 2.0 WGD",30.98,32.889
"25",1,1,"LED-213-S00-27","BEVELED BASIC",11.7,13.609
"26",1,1,"LED-213-S00-30","BEVELED BASIC",11.7,13.609
"27",1,1,"LED-218-S00-30","BEVELED",39.85,42.3491
"28",1,1,"LED-240-S00-27","BEVELED 2.1",13.8,15.709
"29",1,1,"LED-293-S00-30","BEVELED 2.1",23.95,25.859
"30",1,1,"LED-319-H00-30","BEVELED MINI",10.55,11.6139
"31",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.6139
