"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val"
"1",5,39,"LED-203-30","NANO/MINI",11.7,12.5612
"2",1,30,"LED-230-S02-30","BEVELED 2.0",24.69,26.599
"3",2,28,"LED-240-S00-35","BEVELED 2.1",13.8,15.709
"4",3,25,"LED-240-S00-40","BEVELED 2.1",13.8,15.709
"5",2,16,"LED-326-S00-30","BEVELED 2.2",9.9,11.809
"6",1,10,"LED-319-H00-30","BEVELED MINI",10.55,11.6139
"7",3,9,"LED-319-S00-35","BEVELED MINI",10.25,11.6139
"8",1,6,"LED-203-40","NANO/MINI",11.7,12.5612
"9",1,6,"LED-319-H00-27","BEVELED MINI",10.25,11.6138
"10",2,5,"LED-240-S00-30","BEVELED 2.1",13.8,15.709
"11",1,4,"LED-203-30-HI","NANO/MINI",11.7,12.3874
"12",2,4,"LED-213-S00-30","BEVELED BASIC",11.7,13.609
"13",2,2,"LED-240-H00-27","BEVELED 2.1",13.8,15.709
"14",1,2,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327
"15",1,1,"LED-203-27-HI","NANO/MINI",11.7,12.3874
"16",1,1,"LED-203-35","NANO/MINI",11.7,12.5612
"17",1,1,"LED-212-S00-6022","BEVELED 2.1",21.5,23.409
"18",1,1,"LED-213-S00-35","BEVELED BASIC",11.7,13.609
"19",1,1,"LED-218-S00-27","BEVELED",39.85,42.3491
"20",1,1,"LED-240-H01-35","BEVELED 2.1",13.8,15.709
"21",1,1,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909
"22",1,1,"LED-275-S70-3022","BEVELED 2.2",27.2,29.109
"23",1,1,"LED-293-H00-27","BEVELED 2.1",23.95,25.859
"24",1,1,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327
"25",1,1,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.925
"26",1,1,"LED-326-H00-30","BEVELED 2.2",9.9,11.809
