,Jan,Jan,Feb,Feb,Mar,Mar,Apr,Apr,May,May,Jun,Jun,Jul,Jul,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LED-198-H70-3022,0,0,0,0,15,493.35,1,32.89,0,0,0,0,0,0,,,,,,,,
LED-203-27,0,0,0,0,44,552.64,2,25.12,6,75.36,8,100.48,0,0,,,,,,,,
LED-203-27-HI,36,446.04,1,12.39,6,74.34,9,111.51,2,24.78,29,359.31,16,198.24,,,,,,,,
LED-203-30,14,175.84,39,489.84,14,175.84,57,715.92,1,12.56,2817,35381.52,62,778.72,,,,,,,,
LED-203-30-HI,3,37.17,4,49.56,1,12.39,4,49.56,10,123.9,49,607.11,26,322.14,,,,,,,,
LED-203-35,62,778.72,1,12.56,23,288.88,4,50.24,40,502.4,41,514.96,10,125.6,,,,,,,,
LED-203-40,14,175.84,6,75.36,28,351.68,11,138.16,3,37.68,0,0,41,514.96,,,,,,,,
LED-204-H00-2722,0,0,0,0,0,0,0,0,0,0,0,0,1,15.06,,,,,,,,
LED-204-H00-3022,3,45.69,0,0,2,30.46,2,30.46,1,15.23,1,15.23,0,0,,,,,,,,
LED-204-S00-2722,10,150.5,0,0,9,135.45,6,90.3,0,0,13,195.65,0,0,,,,,,,,
LED-207-H70-3022,0,0,0,0,0,0,0,0,0,0,1,30.64,0,0,,,,,,,,
LED-212-S00-6022,4,93.64,1,23.41,0,0,5,117.05,0,0,3,70.23,0,0,,,,,,,,
LED-213-S00-27,0,0,0,0,10,136.1,1,13.61,0,0,0,0,0,0,,,,,,,,
LED-213-S00-30,0,0,4,54.44,14,190.54,1,13.61,10,136.1,6,81.66,0,0,,,,,,,,
LED-213-S00-35,2,27.22,1,13.61,7,95.27,23,313.03,47,639.67,5,68.05,2,27.22,,,,,,,,
LED-213-S00-40,0,0,0,0,0,0,0,0,0,0,1,13.61,0,0,,,,,,,,
LED-218-S00-27,0,0,1,42.35,0,0,0,0,0,0,0,0,0,0,,,,,,,,
LED-218-S00-30,0,0,0,0,0,0,1,42.35,0,0,21,889.35,0,0,,,,,,,,
LED-219-S00-6022,0,0,0,0,18,373.14,17,352.41,0,0,6,124.38,0,0,,,,,,,,
LED-230-H02-27,17,452.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
LED-230-S02-30,0,0,30,798,0,0,0,0,0,0,0,0,0,0,,,,,,,,
LED-239-S00-30,1,15.63,0,0,0,0,0,0,0,0,0,0,2,31.26,,,,,,,,
LED-240-H00-27,4,62.84,2,31.42,0,0,3,47.13,0,0,8,125.68,1,15.71,,,,,,,,
LED-240-H00-30,0,0,0,0,16,251.36,0,0,2,31.42,16,251.36,10,157.1,,,,,,,,
LED-240-H01-35,0,0,1,15.71,0,0,0,0,0,0,2,31.42,2,31.42,,,,,,,,
LED-240-H01-40,1,15.71,0,0,0,0,0,0,0,0,0,0,2,31.42,,,,,,,,
LED-240-S00-27,11,172.81,0,0,8,125.68,1,15.71,2,31.42,66,1036.86,7,109.97,,,,,,,,
LED-240-S00-30,9,141.39,5,78.55,52,816.92,41,644.11,4,62.84,64,1005.44,3,47.13,,,,,,,,
