"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val"
"1",4,47,"LED-213-S00-35","BEVELED BASIC",11.7,13.609
"2",2,40,"LED-203-35","NANO/MINI",11.7,12.5612
"3",4,20,"LED-240-S00-35","BEVELED 2.1",13.8,15.709
"4",3,15,"LED-307-H00-30","BEVELED PRIMARY",2.8356,4.1327
"5",1,10,"LED-203-30-HI","NANO/MINI",11.7,12.3874
"6",3,10,"LED-213-S00-30","BEVELED BASIC",11.7,13.609
"7",2,6,"LED-203-27","NANO/MINI",11.7,12.5612
"8",2,5,"LED-293-S00-27","BEVELED 2.1",23.95,25.859
"9",2,4,"LED-240-S00-30","BEVELED 2.1",13.8,15.709
"10",2,4,"LED-319-S00-30","BEVELED MINI",10.25,11.6139
"11",3,3,"LED-203-40","NANO/MINI",11.7,12.5612
"12",1,2,"LED-203-27-HI","NANO/MINI",11.7,12.3874
"13",1,2,"LED-240-H00-30","BEVELED 2.1",13.8,15.709
"14",1,2,"LED-240-S00-27","BEVELED 2.1",13.8,15.709
"15",1,2,"LED-275-H35-2722","BEVELED 2.2",27.2,29.0813
"16",2,2,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327
"17",2,2,"LED-319-H00-27","BEVELED MINI",10.25,11.6138
"18",1,1,"LED-203-30","NANO/MINI",11.7,12.5612
"19",1,1,"LED-204-H00-3022","BEVELED WGD",14.43,15.2288
"20",1,1,"LED-255-H00-30",NA,13.69,15.1526
"21",1,1,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327
"22",1,1,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327
"23",1,1,"LED-313-S00-2722","BEVELED MINI WGD",25.3,25.925
"24",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.6139
