Light Engines,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Total,
,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost,Qty ,Total Cost
LED-198-H70-3022,0,$0.00 ,0,$0.00 ,15,$493.34 ,1,$32.89 ,0,$0.00 ,,,,,,,,,,,,,,,16,$526.23 
LED-203-27,0,$0.00 ,0,$0.00 ,44,$552.69 ,2,$25.12 ,6,$75.37 ,,,,,,,,,,,,,,,52,$653.18 
LED-203-27-HI,36,$445.95 ,1,$12.39 ,6,$74.32 ,9,$111.49 ,2,$24.77 ,,,,,,,,,,,,,,,54,$668.92 
LED-203-30,14,$175.86 ,39,$489.89 ,14,$175.86 ,57,$715.99 ,1,$12.56 ,,,,,,,,,,,,,,,125,"$1,570.16 "
LED-203-30-HI,3,$37.16 ,4,$49.55 ,1,$12.39 ,4,$49.55 ,10,$123.87 ,,,,,,,,,,,,,,,22,$272.52 
LED-203-35,62,$778.79 ,1,$12.56 ,23,$288.91 ,4,$50.24 ,40,$502.45 ,,,,,,,,,,,,,,,130,"$1,632.95 "
LED-203-40,14,$175.86 ,6,$75.37 ,28,$351.71 ,11,$138.17 ,3,$37.68 ,,,,,,,,,,,,,,,62,$778.79 
LED-204-H00-3022,3,$45.69 ,0,$0.00 ,2,$30.46 ,2,$30.46 ,1,$15.23 ,,,,,,,,,,,,,,,8,$121.84 
LED-204-S00-2722,10,$150.45 ,0,$0.00 ,9,$135.41 ,6,$90.27 ,0,$0.00 ,,,,,,,,,,,,,,,25,$376.13 
LED-212-S00-6022,4,$93.64 ,1,$23.41 ,0,$0.00 ,5,$117.05 ,0,$0.00 ,,,,,,,,,,,,,,,10,$234.10 
LED-213-S00-27,0,$0.00 ,0,$0.00 ,10,$136.09 ,1,$13.61 ,0,$0.00 ,,,,,,,,,,,,,,,11,$149.70 
LED-213-S00-30,0,$0.00 ,4,$54.44 ,14,$190.53 ,1,$13.61 ,10,$136.09 ,,,,,,,,,,,,,,,29,$394.67 
LED-213-S00-35,2,$27.22 ,1,$13.61 ,7,$95.26 ,23,$313.01 ,47,$639.62 ,,,,,,,,,,,,,,,80,"$1,088.72 "
LED-218-S00-27,0,$0.00 ,1,$42.35 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,1,$42.35 
