# of RMAs,Qty,E2,E2_Acct_Val,SP_Acct_Val,SP_Price,SP_Total_Price
1,30,E2-701,13.25,21.3812,13.25,397.5
6,25,E2-404,12.3,17.95,12.3,307.5
1,16,E2-732,15,24,15,240
3,14,E2-388,12.67,22.6,12.67,177.38
2,13,E2-877,11.99,22.16,11.99,155.87
1,12,E2-468,45.39,51.68,45.39,544.68
1,12,E2-735,18.9618,24.7127,18.9618,227.5416
1,10,E2-877,11.986,21.0004,11.986,119.86
1,8,E2-389,14.2086,20.764,14.2086,113.6688
2,7,E2-388,12.67,19.24,12.67,88.69
1,5,E2-1013,40,62.42,40,200
1,5,E2-892,35.19,44.95,35.19,175.95
3,4,E2-526,15.72,27.37,15.72,62.88
1,4,E2-707,14.5554,25.4195,14.5554,58.2216
3,3,E2-1013,40,53.94,40,120
1,3,E2-468,45.39,52.74,45.39,136.17
1,3,E2-526,15.72,21.37,15.72,47.16
1,3,E2-821,24,33.6897,24,72
2,3,E2-887,12.19,20.64,12.19,36.57
1,2,E2-417,17.65,40.29,17.65,35.3
1,2,E2-454,45.39,54.47,45.39,90.78
1,2,E2-516,23,36.7211,23,46
2,2,E2-526,15.72,23.88,15.72,31.44
1,2,E2-527,14.31,23.09,14.31,28.62
1,2,E2-527,14.31,23.49,14.31,28.62
1,2,E2-721,18.96,31.58,18.96,37.92
1,2,E2-877,11.99,20.43,11.99,23.98
1,2,E2-901,23,32.69,23,46
1,2,E2-906,13.25,26.34,13.25,26.5
1,2,E2-907,13.25,23.35,13.25,26.5
2,2,E2-909,15,28.15,15,30
1,2,E2-983,11.193,19.6375,11.193,22.386
1,1,E2-284,23.46,31.4684,23.46,23.46
1,1,E2-404,12.3,24.4,12.3,12.3
1,1,E2-419,53.55,60.65,53.55,53.55
1,1,E2-469,66.3,73.32,66.3,66.3
1,1,E2-520,26.5,36.1496,26.5,26.5
1,1,E2-520,26.5,50.8393,26.5,26.5
1,1,E2-569,85.28,93.845,85.28,85.28
1,1,E2-701,13.25,24.41,13.25,13.25
1,1,E2-703,13.25,22.82,13.25,13.25
1,1,E2-709,13.25,22.2879,13.25,13.25
1,1,E2-710,13.25,21.4777,13.25,13.25
1,1,E2-721,18.0081,27.2857,18.0081,18.0081
1,1,E2-765,13.5,29.4359,13.5,13.5
1,1,E2-783,15,27.61,15,15
1,1,E2-786,13.25,22.72,13.25,13.25
1,1,E2-906,13.25,23.35,13.25,13.25
