"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","LEM_Price","Total_Price"
"1",5,57,"LED-203-30","NANO/MINI",11.7,12.5612,30,1710
"2",5,41,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,40,1640
"3",2,34,"LED-307-H00-35","BEVELED PRIMARY",2.8356,4.1327,25,850
"4",2,23,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,30,690
"5",4,22,"LED-319-S00-30","BEVELED MINI",10.25,11.6139,35,770
"6",2,20,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327,20,400
"7",2,17,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.725,60,1020
"8",2,16,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327,20,320
"9",1,11,"LED-203-40","NANO/MINI",11.7,12.5612,30,330
"10",2,9,"LED-203-27-HI","NANO/MINI",11.7,12.3874,35,315
"11",1,6,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,40,240
"12",2,6,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327,20,120
"13",2,5,"LED-212-S00-6022","BEVELED 2.1",21.5,23.409,75,375
"14",2,4,"LED-203-30-HI","NANO/MINI",11.7,12.3874,35,140
"15",1,4,"LED-203-35","NANO/MINI",11.7,12.5612,30,120
"16",1,4,"LED-250-C00-A1",NA,31.5996,33.4809,80,320
"17",2,3,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,45,135
"18",1,2,"LED-203-27","NANO/MINI",11.7,12.5612,30,60
"19",1,2,"LED-204-H00-3022","BEVELED WGD",14.43,15.2288,45,90
"20",1,2,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,90,180
"21",1,2,"LED-276-H70-3022","BEVELED 2.2 WGD",27.2,29.1353,64,128
"22",1,2,"LED-313-H00-3022","BEVELED MINI WGD",25.3,25.925,56,112
"23",2,2,"LEM-240-00-22KS","BEVELED 2.1",15.6813,15.6813,40,80
"24",1,1,"LED-198-H70-3022","BEVELED 2.0 WGD",30.98,32.889,75,75
"25",1,1,"LED-213-S00-27","BEVELED BASIC",11.7,13.609,30,30
"26",1,1,"LED-213-S00-30","BEVELED BASIC",11.7,13.609,30,30
"27",1,1,"LED-218-S00-30","BEVELED",39.85,42.3491,90,90
"28",1,1,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,40,40
"29",1,1,"LED-293-S00-30","BEVELED 2.1",23.95,25.859,65,65
"30",1,1,"LED-319-H00-30","BEVELED MINI",10.55,11.6139,40,40
"31",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,35,35
