"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,11,"E2-877","22",11.99,22.16,243.76
"2",2,10,"E2-887","22",12.19,20.64,206.4
"3",2,6,"E2-906","6E",13.25,23.08,138.48
"4",3,5,"E2-703","6E",13.25,22.82,114.1
"5",1,4,"E2-610","1M",40,47.4,189.6
"6",3,4,"E2-877","22",11.99,20.43,81.72
"7",1,3,"E2-284","2",23.46,31.47,94.41
"8",1,3,"E2-527","4",14.31,70.83,212.49
"9",2,3,"E2-701","6E",13.25,22.72,68.16
"10",1,3,"E2-736","6E",15,39.68,119.04
"11",1,3,"E2-767","2",15.6,30.18,90.54
"12",1,3,"E2-906","6E",13.25,23.43,70.29
"13",1,3,"E2-907","6E",13.91,38.7457,116.2371
"14",1,3,"E2-908","6E",13.91,21.1397,63.4191
"15",1,2,"E2-283","2",14.57,24.5,49
"16",1,2,"E2-388","2",12.67,22.6,45.2
"17",1,2,"E2-702","6E",13.25,42.1,84.2
"18",2,2,"E2-877","22",11.99,21.56,43.12
"19",1,2,"E2-906","6E",13.25,23.35,46.7
"20",2,2,"E2-906","6E",13.25,23.49,46.98
"21",1,2,"E2-907","6E",13.25,23.01,46.02
"22",1,1,"E2-1016","28",25.99,35.7127,35.7127
"23",1,1,"E2-454","3",45.39,55.42,55.42
"24",1,1,"E2-526","2",15.72,23.88,23.88
"25",1,1,"E2-702","6E",13.25,21.62,21.62
"26",1,1,"E2-721","19",18.96,31.58,31.58
"27",1,1,"E2-906","6E",13.25,25.32,25.32
"28",1,1,"E2-906","6E",13.91,23.7413,23.7413
"29",1,1,"E2-908","6E",13.25,24.52,24.52
"30",1,1,"E2-942","PM01",63.75,76.482,76.482
"31",1,1,"E2-983","22",11.7693,22.0264,22.0264
"32",1,1,"E2-988","28",25.99,36.13,36.13
