"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,11,"E2-877","22",11.99,22.16,243.76
"2",2,10,"E2-887","22",12.19,20.64,206.4
"3",2,6,"E2-906","6E",13.25,23.08,138.48
"4",3,5,"E2-703","6E",13.25,22.82,114.1
"5",1,4,"E2-610","1M",40,47.4,189.6
"6",3,4,"E2-877","22",11.99,20.43,81.72
"7",1,3,"E2-284","2",23.46,31.47,94.41
"8",2,3,"E2-701","6E",13.25,22.72,68.16
"9",1,3,"E2-736","6E",15,39.68,119.04
"10",1,3,"E2-767","2",15.6,30.18,90.54
"11",1,3,"E2-906","6E",13.25,23.43,70.29
"12",1,3,"E2-907","6E",13.91,38.7457,116.2371
"13",1,3,"E2-908","6E",13.91,21.1397,63.4191
"14",1,2,"E2-283","2",14.57,24.5,49
"15",1,2,"E2-388","2",12.67,22.6,45.2
"16",1,2,"E2-702","6E",13.25,42.1,84.2
"17",2,2,"E2-877","22",11.99,21.56,43.12
"18",1,2,"E2-906","6E",13.25,23.35,46.7
"19",2,2,"E2-906","6E",13.25,23.49,46.98
"20",1,2,"E2-907","6E",13.25,23.01,46.02
"21",1,1,"E2-1016","28",25.99,35.7127,35.7127
"22",1,1,"E2-454","3",45.39,55.42,55.42
"23",1,1,"E2-702","6E",13.25,21.62,21.62
"24",1,1,"E2-721","19",18.96,31.58,31.58
"25",1,1,"E2-906","6E",13.25,25.32,25.32
"26",1,1,"E2-906","6E",13.91,23.7413,23.7413
"27",1,1,"E2-908","6E",13.25,24.52,24.52
"28",1,1,"E2-942","PM01",63.75,76.482,76.482
"29",1,1,"E2-983","22",11.7693,22.0264,22.0264
"30",1,1,"E2-988","28",25.99,36.13,36.13
