,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,2,11,E2-877,22,$11.99,$22.16,$243.76
2,2,10,E2-887,22,$12.19,$20.64,$206.40
3,2,6,E2-906,6E,$13.25,$23.08,$138.48
4,3,5,E2-703,6E,$13.25,$22.82,$114.10
5,1,4,E2-610,1M,$40.00,$47.40,$189.60
6,3,4,E2-877,22,$11.99,$20.43,$81.72
7,1,3,E2-284,2,$23.46,$31.47,$94.41
8,1,3,E2-527,4,$14.31,$70.83,$212.49
9,2,3,E2-701,6E,$13.25,$22.72,$68.16
10,1,3,E2-736,6E,$15.00,$39.68,$119.04
11,1,3,E2-767,2,$15.60,$30.18,$90.54
12,1,3,E2-906,6E,$13.25,$23.43,$70.29
13,1,3,E2-907,6E,$13.91,$38.75,$116.24
14,1,3,E2-908,6E,$13.91,$21.14,$63.42
15,1,2,E2-283,2,$14.57,$24.50,$49.00
