"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",2,29,"LED-307-H00-30","BEVELED PRIMARY",2.8356,4.1327,119.8483
"2",1,15,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,235.635
"3",2,14,"LED-203-30","NANO/MINI",11.7,12.5612,175.8568
"4",1,12,"LED-203-35","NANO/MINI",11.7,12.5612,150.7344
"5",2,10,"LED-326-S00-40","BEVELED 2.2",9.9,11.7893,117.893
"6",1,6,"LED-203-40","NANO/MINI",11.7,12.5612,75.3672
"7",1,6,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,94.254
"8",1,6,"LED-275-H35-3022","BEVELED 2.2",27.2,29.109,174.654
"9",2,6,"LED-402-H01-30",NA,6.91,18.78,112.68
"10",2,5,"LED-240-S00-40","BEVELED 2.1",13.8,15.709,78.545
"11",1,4,"LED-213-S00-40","BEVELED BASIC",11.7,13.609,54.436
"12",1,4,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,62.836
"13",1,4,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,183.636
"14",3,3,"LED-319-S00-30","BEVELED MINI",10.25,11.6139,34.8417
"15",1,3,"LED-329-S00-6022",NA,19.32,19.98,59.94
