,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,2,29,LED-307-H00-30,BEVELED PRIMARY,$2.84,$4.13,$119.85
2,1,15,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,$235.64
3,2,10,LED-326-S00-40,BEVELED 2.2,$9.90,$11.79,$117.89
4,1,6,LED-240-H00-27,BEVELED 2.1,$13.80,$15.71,$94.25
5,1,6,LED-275-H35-3022,BEVELED 2.2,$27.20,$29.11,$174.65
6,2,6,LED-402-H01-30,NA,$6.91,$18.78,$112.68
7,2,5,LED-240-S00-40,BEVELED 2.1,$13.80,$15.71,$78.55
8,1,4,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$62.84
9,1,4,LED-273-S00-RGB30,BEVELED 2.1,$44.00,$45.91,$183.64
10,3,3,LED-319-S00-30,BEVELED MINI,$10.25,$11.61,$34.84
11,1,3,LED-329-S00-6022,NA,$19.32,$19.98,$59.94
12,1,2,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$31.42
13,1,1,LED-204-H00-2722,BEVELED WGD,$14.43,$15.06,$15.06
14,1,1,LED-240-H01-35,BEVELED 2.1,$13.80,$15.71,$15.71
15,1,1,LED-274-H00-27,SLIVERLED,$10.82,$12.34,$12.34
