"","# of RMAs","Qty","E2"
"1",8,134,"E2-526"
"2",9,96,"E2-404"
"3",4,76,"E2-527"
"4",3,24,"E2-389"
"5",5,19,"E2-388"
"6",1,19,"E2-517"
"7",1,10,"E2-701"
"8",2,10,"E2-877"
"9",2,10,"E2-907"
"10",3,9,"E2-909"
"11",2,8,"E2-417"
"12",1,5,"E2-454"
"13",4,5,"E2-906"
"14",1,4,"E2-419"
"15",1,4,"E2-552"
"16",4,4,"E2-721"
"17",2,4,"E2-887"
"18",2,3,"E2-765"
"19",1,2,"E2-283"
"20",2,2,"E2-610"
"21",1,1,"E2-307"
"22",1,1,"E2-335"
"23",1,1,"E2-386"
"24",1,1,"E2-468"
"25",1,1,"E2-469"
"26",1,1,"E2-569"
"27",1,1,"E2-675"
"28",1,1,"E2-702"
"29",1,1,"E2-735"
