# of RMAs,Qty,LED,,,,,,
8,65,LED-203-35,,,,,LEM-203,123
1,39,LED-307-H00-30,,,,,LEM-240,87
6,32,LED-213-S00-35,,,,,LEM-307,51
3,32,LED-240-S00-40,,,,,LEM-213,44
5,24,LED-203-30,,,,,LEM-319,20
6,24,LED-240-S00-35,,,,,LEM-198,17
8,21,LED-240-S00-30,,,,,LEM-212,9
3,18,LED-203-40,,,,,LEM-326,7
2,16,LED-319-S00-35,,,,,LEM-313,6
1,14,LED-198-S70-2722,,,,,LEM-275,5
4,12,LED-213-S00-30,,,,,LEM-293,5
2,11,LED-203-27-HI,,,,,LEM-274,3
3,11,LED-307-S00-35,,,,,LEM-204,2
2,9,LED-212-S00-6022,,,,,LEM-273,2
2,8,LED-240-H00-27,,,,,LEM-234,1
2,6,LED-313-S00-3022,,,,,LEM-255,1
1,5,LED-275-S70-3022,,,,,,
2,5,LED-293-S00-35,,,,,,
1,4,LED-203-30-HI,,,,,,
1,4,LED-326-S00-30,,,,,,
1,3,LED-198-H70-2722,,,,,,
3,3,LED-319-S00-30,,,,,,
2,2,LED-273-S00-RGB30,,,,,,
2,2,LED-274-S00-30,,,,,,
1,2,LED-336-S00-RGB30,,,,,,
1,1,LED-203-27,,,,,,
1,1,LED-204-H00-3022,,,,,,
1,1,LED-204-S00-3522,,,,,,
1,1,LED-234-S00-3022,,,,,,
1,1,LED-240-H00-30,,,,,,
1,1,LED-240-S00-27,,,,,,
1,1,LED-255-H00-30,,,,,,
1,1,LED-274-S00-27,,,,,,
1,1,LED-307-S00-30,,,,,,
1,1,LED-319-H00-30,,,,,,
1,1,LED-326-H00-35,,,,,,
