"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",3,49,"E2-887","22",12.19,22.41,1098.09
"2",1,20,"E2-526","2",15.7182,20.0785,401.57
"3",2,16,"E2-389","2",14.21,20.77,332.32
"4",4,15,"E2-887","22",12.19,20.64,309.6
"5",1,12,"E2-527","2",14.31,18.08,216.96
"6",1,10,"E2-702","6E",13.25,40.09,400.9
"7",2,10,"E2-877","22",11.99,22.16,221.6
"8",1,6,"E2-418","3",45.39,54.4469,326.6814
"9",2,6,"E2-721","19",18.96,29.59,177.54
"10",1,6,"E2-991","28",24.75,34.9847,209.9082
"11",1,5,"E2-709","6F",13.25,30.04,150.2
"12",1,4,"E2-404","2",12.3,18.87,75.48
"13",1,4,"E2-469","4",66.3,76.59,306.36
"14",1,4,"E2-721","19",17.8296,29.8492,119.3968
"15",1,3,"E2-486","3",45.39,67.89,203.67
"16",2,3,"E2-526","2",15.72,27.37,82.11
"17",1,3,"E2-533","6B",23,34.2733,102.8199
"18",2,3,"E2-697","4H",51,57.8687,173.6061
"19",1,3,"E2-698","6F",13.91,24.1999,72.5997
"20",2,3,"E2-783","6E",15,37.13,111.39
"21",1,2,"E2-388","2",12.67,19.24,38.48
"22",1,2,"E2-388","2",12.67,22.6,45.2
"23",1,2,"E2-585","4",53.55,116.9665,233.933
"24",2,2,"E2-702","6E",13.25,22.82,45.64
"25",1,2,"E2-804","21",6.825,16.5059,33.0118
"26",1,2,"E2-877","22",12.467,20.9654,41.9308
"27",1,2,"E2-907","6E",13.25,24.04,48.08
"28",1,1,"E2-283","2",14.57,24.5,24.5
"29",1,1,"E2-283","2",16.02,24.02,24.02
"30",1,1,"E2-419","4",53.55,63.09,63.09
"31",1,1,"E2-526","2",15.72,28.6,28.6
"32",1,1,"E2-702","6E",13.91,26.6872,26.6872
"33",1,1,"E2-721","19",17.8296,24.9898,24.9898
"34",1,1,"E2-721","19",18.01,27.29,27.29
"35",1,1,"E2-721","19",18.96,33.12,33.12
"36",1,1,"E2-736","6E",15,54.8154,54.8154
"37",1,1,"E2-877","22",11.99,20.43,20.43
"38",1,1,"E2-887","22",12.19,20.59,20.59
"39",1,1,"E2-906","6F",13.91,24.7018,24.7018
"40",1,1,"E2-906","6F",13.91,25.3122,25.3122
"41",1,1,"E2-908","6E",13.25,24.52,24.52
"42",1,1,"E2-909","6E",15,27.13,27.13
"43",1,1,"E2-983","22",11.19,19.64,19.64
