"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",4,46,"LED-203-35","NANO/MINI",11.7,12.5612,577.8152
"2",6,38,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,596.942
"3",1,26,"LED-203-40","NANO/MINI",11.7,12.5612,326.5912
"4",2,17,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,267.053
"5",3,13,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327,53.7251
"6",2,11,"LED-281-S00-3022","SLIVERLED WGD",11.55,13.1622,144.7842
"7",1,10,"LED-239-H00-30","BEVELED 2.2",13.8,15.7433,157.433
"8",2,8,"LED-293-S00-30","BEVELED 2.1",23.95,25.859,206.872
"9",1,7,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327,28.9289
"10",3,6,"LED-203-30","NANO/MINI",11.7,12.5612,75.3672
"11",1,5,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,78.545
"12",1,5,"LED-336-S00-RGB30","BEVELED MINI",29.85,30.475,152.375
"13",2,4,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,54.436
"14",1,4,"LED-274-H00-35","SLIVERLED",10.82,12.3426,49.3704
"15",1,3,"LED-203-27-HI","NANO/MINI",11.7,12.3874,37.1622
"16",3,3,"LED-319-H00-30","BEVELED MINI",10.55,11.6139,34.8417
"17",1,2,"LED-307-H00-30","BEVELED PRIMARY",2.8356,4.1327,8.2654
"18",1,1,"LED-198-S70-2722","BEVELED 2.0 WGD",30.98,32.889,32.889
"19",1,1,"LED-234-S00-2722","BEVELED 5.0",58.25,61.0245,61.0245
"20",1,1,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,45.909
"21",1,1,"LED-281-H00-2722","SLIVERLED WGD",11.85,13.3726,13.3726
"22",1,1,"LED-293-H00-30","BEVELED 2.1",23.95,25.859,25.859
"23",1,1,"LED-307-H00-40","BEVELED PRIMARY",2.8356,4.1517,4.1517
"24",1,1,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327,4.1327
"25",1,1,"LED-319-H00-27","BEVELED MINI",10.25,11.6138,11.6138
"26",1,1,"LED-326-S00-40","BEVELED 2.2",9.9,11.7893,11.7893
