"","# of RMAs","Qty","E2","DIM_Type"
"1",8,95,"E2-526","2"
"2",1,72,"E2-389","2"
"3",1,66,"E2-709","2"
"4",4,30,"E2-906","6E"
"5",1,21,"E2-736","6E"
"6",1,20,"E2-786","6E"
"7",1,15,"E2-283","2"
"8",1,11,"E2-739","6E"
"9",3,7,"E2-907","6E"
"10",1,6,"E2-388","2"
"11",1,6,"E2-709","6F"
"12",3,6,"E2-877","22"
"13",1,5,"E2-709","1"
"14",1,4,"E2-404","2"
"15",2,4,"E2-721","19"
"16",1,3,"E2-517","6A"
"17",1,2,"E2-1013","23X2"
"18",1,2,"E2-405","9"
"19",1,2,"E2-527","2"
"20",1,2,"E2-701","6E"
"21",2,2,"E2-887","22"
"22",2,2,"E2-925","4P"
"23",1,1,"E2-454","3"
"24",1,1,"E2-516","6A"
"25",1,1,"E2-783","6E"
"26",1,1,"E2-901","6A"
"27",1,1,"E2-983","22"
"28",1,1,"E2-986","22"
