"","# of RMAs","Qty","LED","Product_Family"
"1",2,715,"LED-307-H00-35","BEVELED PRIMARY"
"2",5,71,"LED-240-S00-35","BEVELED 2.1"
"3",5,30,"LED-240-S00-30","BEVELED 2.1"
"4",3,23,"LED-307-S00-30","BEVELED PRIMARY"
"5",1,14,"LED-230-H02-27","BEVELED 2.0"
"6",1,9,"LED-326-S00-30","BEVELED 2.2"
"7",2,8,"LED-213-S00-35","BEVELED BASIC"
"8",2,7,"LED-203-27","NANO/MINI"
"9",2,4,"LED-319-H00-30","BEVELED MINI"
"10",2,4,"LED-319-S00-30","BEVELED MINI"
"11",1,3,"LED-219-S00-6022","BEVELED COLOR SELECT"
"12",1,3,"LED-240-H00-30","BEVELED 2.1"
"13",1,3,"LED-275-S00-2722","BEVELED 2.2"
"14",3,3,"LED-319-S00-35","BEVELED MINI"
"15",1,1,"LED-198-S70-2722","BEVELED 2.0 WGD"
"16",1,1,"LED-203-30","NANO/MINI"
"17",1,1,"LED-203-35","NANO/MINI"
"18",1,1,"LED-204-H00-3022","BEVELED WGD"
"19",1,1,"LED-213-S00-30","BEVELED BASIC"
"20",1,1,"LED-236-S00-30","BEVELED"
"21",1,1,"LED-273-S00-RGB30","BEVELED 2.1"
"22",1,1,"LED-293-S00-40","BEVELED 2.1"
"23",1,1,"LED-307-S00-35","BEVELED PRIMARY"
"24",1,1,"LED-313-H00-3022","BEVELED MINI WGD"
"25",1,1,"LED-313-S00-3022","BEVELED MINI WGD"
"26",1,1,"LED-319-H00-35","BEVELED MINI"
"27",1,1,"LED-326-S00-27","BEVELED 2.2"
