"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,457,"E2-526","2",15.72,24.78,11324.46
"2",2,92,"E2-526","2",15.72,19.49,1793.08
"3",1,30,"E2-454","3",45.39,54.651,1639.53
"4",1,20,"E2-526","2",15.72,28.6,572
"5",2,10,"E2-527","2",14.31,23.49,234.9
"6",1,10,"E2-721","19",18.96,25.27,252.7
"7",1,9,"E2-283","2",14.57,21.14,190.26
"8",4,8,"E2-877","22",11.99,20.43,163.44
"9",1,7,"E2-527","2",14.31,23.09,161.63
"10",1,6,"E2-388","2",12.67,22.6,135.6
"11",1,6,"E2-488","3",45.39,52.26,313.56
"12",2,6,"E2-516","D6A",24.15,53.8162,322.8972
"13",1,5,"E2-389","2",14.21,20.76,103.8
"14",1,5,"E2-389","2",14.21,28.82,144.1
"15",1,4,"E2-284","2",23.46,31.47,125.88
"16",2,4,"E2-404","2",12.3,24.6,98.4
"17",1,4,"E2-527","2",14.31,20.57,82.28
"18",1,4,"E2-877","22",11.99,21.38,85.52
"19",1,3,"E2-1013","23X1",40,61.94,185.82
"20",1,3,"E2-774","19",19.7574,29.2822,87.8466
"21",1,3,"E2-842","18",46.0428,71.4015,214.2045
"22",1,3,"E2-925","4P",45.39,53.57,160.71
"23",1,2,"E2-404","2",12.3,18.11,36.22
"24",2,2,"E2-417","2",17.646,27.4379,54.8758
"25",1,2,"E2-486","3",45.39,67.89,135.78
"26",1,2,"E2-516","6A",23,53.45,106.9
"27",1,2,"E2-526","2",17.289,26.7658,53.5316
"28",2,2,"E2-527","2",14.31,18.08,36.16
"29",2,2,"E2-721","19",18.96,29.01,58.02
"30",1,2,"E2-887","22",12.19,20.64,41.28
"31",1,2,"E2-901","6A",23,32.69,65.38
"32",1,2,"E2-906","6E",13.25,22.94,45.88
"33",1,2,"E2-906","6E",13.25,23.01,46.02
"34",2,2,"E2-907","6E",13.25,23.35,46.7
"35",1,2,"E2-963","D6E",14.17,22.3614,44.7228
"36",1,1,"E2-404","2",12.3,22.24,22.24
"37",1,1,"E2-417","2",17.65,23.89,23.89
"38",1,1,"E2-526","2",15.72,27.37,27.37
"39",1,1,"E2-786","6E",13.91,18.3944,18.3944
"40",1,1,"E2-906","6E",13.25,26.34,26.34
"41",1,1,"E2-924","4P",51,59.4714,59.4714
"42",1,1,"E2-988","28",24.75,49.74,49.74
