"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,457,"E2-526","2",15.72,24.78,11324.46
"2",2,92,"E2-526","2",15.72,19.49,1793.08
"3",1,30,"E2-454","3",45.39,54.651,1639.53
"4",1,20,"E2-526","2",15.72,28.6,572
"5",2,10,"E2-527","2",14.31,23.49,234.9
"6",1,10,"E2-721","19",18.96,25.27,252.7
"7",1,9,"E2-283","2",14.57,21.14,190.26
"8",4,8,"E2-877","22",11.99,20.43,163.44
"9",1,7,"E2-527","2",14.31,23.09,161.63
"10",1,6,"E2-388","2",12.67,22.6,135.6
"11",1,6,"E2-488","3",45.39,52.26,313.56
"12",2,6,"E2-516","D6A",24.15,53.8162,322.8972
"13",1,5,"E2-389","2",14.21,20.76,103.8
"14",1,5,"E2-389","2",14.21,28.82,144.1
"15",1,4,"E2-284","2",23.46,31.47,125.88
