,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,,,
1,1,30,E2-454,3,$45.39 ,$54.65 ,"$1,639.53 ",,E2-733,26
2,1,10,E2-721,19,$18.96 ,$25.27 ,$252.70 ,,E2-404,12
3,1,9,E2-283,2,$14.57 ,$21.14 ,$190.26 ,,E2-906,11
4,4,8,E2-877,22,$11.99 ,$20.43 ,$163.44 ,,E2-469,10
5,1,6,E2-388,2,$12.67 ,$22.60 ,$135.60 ,,E2-925,6
6,1,6,E2-488,3,$45.39 ,$52.26 ,$313.56 ,,E2-283,5
7,2,6,E2-516,D6A,$24.15 ,$53.82 ,$322.90 ,,E2-877,5
8,1,5,E2-389,2,$14.21 ,$20.76 ,$103.80 ,,E2-887,5
9,1,5,E2-389,2,$14.21 ,$28.82 ,$144.10 ,,E2-906,5
10,1,4,E2-284,2,$23.46 ,$31.47 ,$125.88 ,,E2-468,4
11,2,4,E2-404,2,$12.30 ,$24.60 ,$98.40 ,,E2-721,3
12,1,4,E2-877,22,$11.99 ,$21.38 ,$85.52 ,,E2-721,3
13,1,3,E2-1013,23X1,$40.00 ,$61.94 ,$185.82 ,,E2-877,3
14,1,3,E2-774,19,$19.76 ,$29.28 ,$87.85 ,,E2-877,3
15,1,3,E2-842,18,$46.04 ,$71.40 ,$214.20 ,,E2-983,3
