"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",1,30,"E2-454","3",45.39,54.651,1639.53
"2",1,10,"E2-721","19",18.96,25.27,252.7
"3",1,9,"E2-283","2",14.57,21.14,190.26
"4",4,8,"E2-877","22",11.99,20.43,163.44
"5",1,6,"E2-388","2",12.67,22.6,135.6
"6",1,6,"E2-488","3",45.39,52.26,313.56
"7",2,6,"E2-516","D6A",24.15,53.8162,322.8972
"8",1,5,"E2-389","2",14.21,20.76,103.8
"9",1,5,"E2-389","2",14.21,28.82,144.1
"10",1,4,"E2-284","2",23.46,31.47,125.88
"11",2,4,"E2-404","2",12.3,24.6,98.4
"12",1,4,"E2-877","22",11.99,21.38,85.52
"13",1,3,"E2-1013","23X1",40,61.94,185.82
"14",1,3,"E2-774","19",19.7574,29.2822,87.8466
"15",1,3,"E2-842","18",46.0428,71.4015,214.2045
