"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",5,99,"LED-203-30","NANO/MINI",11.7,12.5612,1243.5588
"2",3,81,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,1272.429
"3",2,40,"LED-203-27","NANO/MINI",11.7,12.5612,502.448
"4",1,30,"LED-204-S00-3022","BEVELED WGD",14.43,15.1467,454.401
"5",2,22,"LED-204-H00-3022","BEVELED WGD",14.43,15.2288,335.0336
"6",3,16,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,185.8224
"7",3,13,"LED-203-35","NANO/MINI",11.7,12.5612,163.2956
"8",2,13,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,195.585
"9",3,13,"LED-326-S00-35","BEVELED 2.2",9.9,11.809,153.517
"10",1,11,"LED-240-H00-30","BEVELED 2.1",13.8,15.709,172.799
"11",2,6,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,94.254
"12",1,5,"LED-203-27-HI","NANO/MINI",11.7,12.3874,61.937
"13",3,5,"LED-281-H00-3022","SLIVERLED WGD",11.85,13.3726,66.863
"14",1,4,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,62.836
"15",1,3,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,40.827
"16",1,3,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327,12.3981
"17",1,2,"LED-213-S00-30","BEVELED BASIC",11.7,13.609,27.218
"18",1,2,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,31.418
"19",1,2,"LED-281-S00-3022","SLIVERLED WGD",11.55,13.1622,26.3244
"20",1,2,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327,8.2654
"21",1,2,"LED-319-S01-27","BEVELED MINI",9.93,11.3016,22.6032
"22",1,1,"LED-198-S70-3522","BEVELED 2.0 WGD",30.98,32.8742,32.8742
"23",1,1,"LED-203-30-HI","NANO/MINI",11.7,12.3874,12.3874
"24",1,1,"LED-240-S00-40","BEVELED 2.1",13.8,15.709,15.709
"25",1,1,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,45.909
"26",1,1,"LED-307-H00-27","BEVELED PRIMARY",2.8356,4.1644,4.1644
"27",1,1,"LED-307-H00-30","BEVELED PRIMARY",2.8356,4.1327,4.1327
"28",1,1,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.925,25.925
"29",1,1,"LED-319-H00-27","BEVELED MINI",10.25,11.6138,11.6138
"30",1,1,"LED-319-S01-40","BEVELED MINI",9.93,11.6268,11.6268
"31",1,1,"LED-326-H00-35","BEVELED 2.2",9.9,11.809,11.809
"32",1,1,"LED-326-S00-30","BEVELED 2.2",9.9,11.809,11.809
