"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",5,99,"LED-203-30","NANO/MINI",11.7,12.5612,1243.5588
"2",3,81,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,1272.429
"3",2,40,"LED-203-27","NANO/MINI",11.7,12.5612,502.448
"4",1,30,"LED-204-S00-3022","BEVELED WGD",14.43,15.1467,454.401
"5",2,22,"LED-204-H00-3022","BEVELED WGD",14.43,15.2288,335.0336
"6",3,16,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,185.8224
"7",3,13,"LED-203-35","NANO/MINI",11.7,12.5612,163.2956
"8",2,13,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,195.585
"9",3,13,"LED-326-S00-35","BEVELED 2.2",9.9,11.809,153.517
"10",1,11,"LED-240-H00-30","BEVELED 2.1",13.8,15.709,172.799
"11",2,6,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,94.254
"12",1,5,"LED-203-27-HI","NANO/MINI",11.7,12.3874,61.937
"13",3,5,"LED-281-H00-3022","SLIVERLED WGD",11.85,13.3726,66.863
"14",1,4,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,62.836
"15",1,3,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,40.827
