,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost,,,
1,3,81,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,"$1,272.43",,LED-240-S00-30,81
2,1,30,LED-204-S00-3022,BEVELED WGD,$14.43,$15.15,$454.40,,LED-204-S00-3022,30
3,2,22,LED-204-H00-3022,BEVELED WGD,$14.43,$15.23,$335.03,,LED-204-H00-3022,22
4,3,16,LED-319-S00-35,BEVELED MINI,$10.25,$11.61,$185.82,,LED-319-S00-35,16
5,2,13,LED-204-S00-2722,BEVELED WGD,$14.42,$15.05,$195.59,,LED-204-S00-2722,13
6,3,13,LED-326-S00-35,BEVELED 2.2,$9.90,$11.81,$153.52,,LED-326-S00-35,13
7,1,11,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$172.80,,LED-240-H00-30,11
8,2,6,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,$94.25,,LED-240-S00-35,6
9,3,5,LED-281-H00-3022,SLIVERLED WGD,$11.85,$13.37,$66.86,,LED-281-H00-3022,5
10,1,4,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$62.84,,LED-240-S00-27,4
11,1,3,LED-307-S00-27,BEVELED PRIMARY,$2.84,$4.13,$12.40,,LED-307-S00-27,3
12,1,2,LED-240-H00-27,BEVELED 2.1,$13.80,$15.71,$31.42,,LED-240-H00-27,2
13,1,2,LED-281-S00-3022,SLIVERLED WGD,$11.55,$13.16,$26.32,,LED-281-S00-3022,2
14,1,2,LED-307-S00-35,BEVELED PRIMARY,$2.84,$4.13,$8.27,,LED-307-S00-35,2
15,1,2,LED-319-S01-27,BEVELED MINI,$9.93,$11.30,$22.60,,LED-319-S01-27,2
