"","X1","LED","Month","Return_Qty","Total_Cost"
"1",1,"LEM-240-00-22KS","April",2,31.3626
"2",2,"LED-401-H00-3018","March",1,6.0401
"3",3,"LED-397-S00-6022","January",1,21.4638
"4",4,"LED-336-S00-RGB30","August",5,152.375
"5",5,"LED-336-S00-RGB30","July",1,30.475
"6",6,"LED-336-S00-RGB30","June",1,30.475
"7",7,"LED-336-S00-RGB30","March",1,30.475
"8",8,"LED-326-S00-40","August",1,11.7893
"9",9,"LED-326-S00-40","November",12,141.4716
"10",10,"LED-326-S00-40","October",3,35.3679
"11",11,"LED-326-S00-35","December",13,153.517
"12",12,"LED-326-S00-35","March",3,35.427
"13",13,"LED-326-S00-35","October",10,118.09
"14",14,"LED-326-S00-35","September",1,11.809
"15",15,"LED-326-S00-30","December",1,11.809
"16",16,"LED-326-S00-30","February",16,188.944
"17",17,"LED-326-S00-30","January",27,318.843
"18",18,"LED-326-S00-30","July",2,23.618
"19",19,"LED-326-S00-30","June",1,11.809
"20",20,"LED-326-S00-30","March",11,129.899
"21",21,"LED-326-S00-30","November",1,11.809
"22",22,"LED-326-S00-30","October",1,11.809
"23",23,"LED-326-H00-35","December",1,11.809
"24",24,"LED-326-H00-35","October",1,11.809
"25",25,"LED-326-H00-30","February",1,11.809
"26",26,"LED-326-H00-30","October",2,23.618
"27",27,"LED-326-H00-30","September",1,11.809
"28",28,"LED-319-U00-27","October",2,23.8278
"29",29,"LED-319-S01-40","December",1,11.6268
"30",30,"LED-319-S01-40","September",1,11.6268
"31",31,"LED-319-S01-27","December",2,22.6032
"32",32,"LED-319-S01-27","June",1,11.3016
"33",33,"LED-319-S00-35","April",1,11.6139
"34",34,"LED-319-S00-35","December",16,185.8224
"35",35,"LED-319-S00-35","February",9,104.5251
"36",36,"LED-319-S00-35","June",1,11.6139
"37",37,"LED-319-S00-35","March",1,11.6139
"38",38,"LED-319-S00-35","May",1,11.6139
"39",39,"LED-319-S00-35","November",22,255.5058
"40",40,"LED-319-S00-35","September",3,34.8417
"41",41,"LED-319-S00-30","April",22,255.5058
"42",42,"LED-319-S00-30","January",1,11.6139
"43",43,"LED-319-S00-30","June",2,23.2278
"44",44,"LED-319-S00-30","March",4,46.4556
"45",45,"LED-319-S00-30","May",4,46.4556
"46",46,"LED-319-S00-30","November",2,23.2278
"47",47,"LED-319-H00-35","October",1,11.6139
"48",48,"LED-319-H00-30","April",1,11.6139
"49",49,"LED-319-H00-30","August",3,34.8417
"50",50,"LED-319-H00-30","February",10,116.139
"51",51,"LED-319-H00-30","June",2,23.2278
"52",52,"LED-319-H00-30","October",2,23.2278
"53",53,"LED-319-H00-30","September",4,46.4556
"54",54,"LED-319-H00-27","August",1,11.6138
"55",55,"LED-319-H00-27","December",1,11.6138
"56",56,"LED-319-H00-27","February",6,69.6828
"57",57,"LED-319-H00-27","July",1,11.6138
"58",58,"LED-319-H00-27","May",2,23.2276
"59",59,"LED-313-S00-3522","October",1,25.925
"60",60,"LED-313-S00-3022","December",1,25.925
"61",61,"LED-313-S00-3022","February",1,25.925
"62",62,"LED-313-S00-3022","June",4,103.7
"63",63,"LED-313-S00-3022","March",1,25.925
"64",64,"LED-313-S00-2722","May",1,25.925
"65",65,"LED-313-S00-2722","October",1,25.925
"66",66,"LED-313-H00-3022","April",2,51.85
"67",67,"LED-313-H00-3022","January",2,51.85
"68",68,"LED-313-H00-3022","July",1,25.925
"69",69,"LED-313-H00-3022","June",1,25.925
"70",70,"LED-313-H00-3022","October",2,51.85
"71",71,"LED-313-H00-2722","March",5,129.625
"72",72,"LED-307-S00-40","March",25,103.3175
"73",73,"LED-307-S00-35","April",16,66.1232
"74",74,"LED-307-S00-35","August",1,4.1327
"75",75,"LED-307-S00-35","December",2,8.2654
"76",76,"LED-307-S00-35","February",1,4.1327
"77",77,"LED-307-S00-35","January",1,4.1327
