,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost,,LED,Qty
1,5,99,LED-203-30,NANO/MINI,$11.70 ,$12.56 ,"$1,243.56 ",,LED-203-30,99
2,3,81,LED-240-S00-30,BEVELED 2.1,$13.80 ,$15.71 ,"$1,272.43 ",,LED-240-S00-30,81
3,2,40,LED-203-27,NANO/MINI,$11.70 ,$12.56 ,$502.45 ,,LED-203-27,40
4,1,30,LED-204-S00-3022,BEVELED WGD,$14.43 ,$15.15 ,$454.40 ,,LED-204-S00-3022,30
5,2,22,LED-204-H00-3022,BEVELED WGD,$14.43 ,$15.23 ,$335.03 ,,LED-204-H00-3022,22
6,3,16,LED-319-S00-35,BEVELED MINI,$10.25 ,$11.61 ,$185.82 ,,LED-319-S00-35,16
7,3,13,LED-203-35,NANO/MINI,$11.70 ,$12.56 ,$163.30 ,,LED-203-35,13
8,2,13,LED-204-S00-2722,BEVELED WGD,$14.42 ,$15.05 ,$195.59 ,,LED-204-S00-2722,13
9,3,13,LED-326-S00-35,BEVELED 2.2,$9.90 ,$11.81 ,$153.52 ,,LED-326-S00-35,13
10,1,11,LED-240-H00-30,BEVELED 2.1,$13.80 ,$15.71 ,$172.80 ,,LED-240-H00-30,11
11,2,6,LED-240-S00-35,BEVELED 2.1,$13.80 ,$15.71 ,$94.25 ,,LED-240-S00-35,6
12,1,5,LED-203-27-HI,NANO/MINI,$11.70 ,$12.39 ,$61.94 ,,LED-203-27-HI,5
13,3,5,LED-281-H00-3022,SLIVERLED WGD,$11.85 ,$13.37 ,$66.86 ,,LED-281-H00-3022,5
14,1,4,LED-240-S00-27,BEVELED 2.1,$13.80 ,$15.71 ,$62.84 ,,LED-240-S00-27,4
15,1,3,LED-213-S00-35,BEVELED BASIC,$11.70 ,$13.61 ,$40.83 ,,LED-213-S00-35,3
