,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,3,81,LED-240-S00-30,BEVELED 2.1,13.8,15.709,1272.429
2,1,30,LED-204-S00-3022,BEVELED WGD,14.43,15.1467,454.401
3,2,22,LED-204-H00-3022,BEVELED WGD,14.43,15.2288,335.0336
4,3,16,LED-319-S00-35,BEVELED MINI,10.25,11.6139,185.8224
5,2,13,LED-204-S00-2722,BEVELED WGD,14.42,15.045,195.585
6,3,13,LED-326-S00-35,BEVELED 2.2,9.9,11.809,153.517
7,1,11,LED-240-H00-30,BEVELED 2.1,13.8,15.709,172.799
8,2,6,LED-240-S00-35,BEVELED 2.1,13.8,15.709,94.254
9,3,5,LED-281-H00-3022,SLIVERLED WGD,11.85,13.3726,66.863
10,1,4,LED-240-S00-27,BEVELED 2.1,13.8,15.709,62.836
11,1,3,LED-307-S00-27,BEVELED PRIMARY,2.8356,4.1327,12.3981
12,1,2,LED-240-H00-27,BEVELED 2.1,13.8,15.709,31.418
13,1,2,LED-281-S00-3022,SLIVERLED WGD,11.55,13.1622,26.3244
14,1,2,LED-307-S00-35,BEVELED PRIMARY,2.8356,4.1327,8.2654
15,1,2,LED-319-S01-27,BEVELED MINI,9.93,11.3016,22.6032
