"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","SP_Price","CostToReplace"
"1",5,188,"E2-526","2",2955.36,3894.0479,8370,4475.9521
"2",3,12,"E2-404","2",147.6,218.4918,468,249.5082
"3",5,11,"E2-906","6E",145.75,258.4489,495,236.5511
"4",3,11,"E2-983","22",123.09,223.5305,527,303.4695
"5",3,10,"E2-877","22",119.9,195.6251,390,194.3749
"6",1,8,"E2-732","6E",120,192.016,416,223.984
"7",4,6,"E2-388","2",76.02,140.287,294,153.713
"8",1,6,"E2-721","19",113.76,172.4364,318,145.5636
"9",1,6,"E2-909","6F",90,146.5782,360,213.4218
"10",1,4,"E2-1013","23X1",160,247.728,532,284.272
"11",1,4,"E2-454","3",181.56,217.874,460,242.126
"12",2,3,"E2-389","2",42.63,59.2284,203,143.7716
"13",2,2,"E2-468","3",90.78,110.8424,228,117.1576
"14",1,2,"E2-488","3",90.78,104.5294,220,115.4706
"15",1,2,"E2-490","4",101.5,123.9802,274,150.0198
"16",2,2,"E2-520","7",53,74.0071,152,77.9929
"17",1,2,"E2-527","2",28.62,46.1824,108,61.8176
"18",1,2,"E2-707","2",29.12,51.2802,94,42.7198
"19",1,2,"E2-721","4",37.92,179.6714,400,220.3286
"20",1,2,"E2-765","6F",27,59.9012,128,68.0988
"21",2,2,"E2-783","6E",30,46.3804,97,50.6196
"22",1,2,"E2-887","22",24.38,41.2732,78,36.7268
"23",1,1,"E2-402","10",18.55,25.2198,54,28.7802
"24",1,1,"E2-455","4",53.55,63.6684,140,76.3316
"25",1,1,"E2-652","4H",45.39,57.5217,114,56.4783
"26",1,1,"E2-702","6E",13.25,23.8559,52,28.1441
"27",1,1,"E2-721","2",18.96,46.2927,108,61.7073
"28",1,1,"E2-739","6E",15,22.7263,72,49.2737
"29",1,1,"E2-907","6E",13.25,25.7131,49,23.2869
"30",1,1,"E2-908","6E",13.25,24.5197,56,31.4803
"31",1,1,"E2-909","6E",15,28.1513,61,32.8487
