,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,,,
1,2,26,E2-733,6F,16.5,30.11,782.86,,160,4824.1033
2,1,19,E2-526,2,15.72,25.81,490.39,,,
3,3,12,E2-404,2,12.3,17.95,215.4,,,
4,2,11,E2-527,2,14.31,20.57,226.27,,,
5,1,11,E2-906,6E,13.91,17.89,196.79,,,
6,1,10,E2-469,4,66.3,75.4798,754.798,,,
7,1,6,E2-925,4P,45.39,53.57,321.42,,,
8,1,5,E2-283,2,14.57,21.14,105.7,,,
9,2,5,E2-526,2,15.72,28.6,143,,,
10,1,5,E2-877,22,12.47,20.97,104.85,,,
11,1,5,E2-887,22,12.19,20.64,103.2,,,
12,1,5,E2-906,6E,13.25,24.04,120.2,,,
13,1,4,E2-468,3,45.39,55.42,221.68,,,
14,1,3,E2-721,19,18.96,25.27,75.81,,,
15,1,3,E2-721,19,18.96,29.59,88.77,,,
16,1,3,E2-877,22,11.99,20.43,61.29,,,
17,2,3,E2-877,22,11.99,22.16,66.48,,,
18,1,3,E2-983,22,11.19,19.64,58.92,,,
19,1,2,E2-389,2,14.2086,24.9119,49.8238,,,
20,1,2,E2-468,3,45.39,51.68,103.36,,,
21,2,2,E2-526,2,15.72,27.37,54.74,,,
22,1,2,E2-735,19,18.9618,34.0953,68.1906,,,
23,1,1,E2-284,2,23.46,31.47,31.47,,,
24,1,1,E2-404,2,12.3,18.11,18.11,,,
25,1,1,E2-404,2,12.3,24.4,24.4,,,
26,1,1,E2-520,7,27.83,37.0494,37.0494,,,
27,1,1,E2-526,2,15.72,27.82,27.82,,,
28,1,1,E2-610,23X2,40,51.92,51.92,,,
29,1,1,E2-702,6E,13.25,22.82,22.82,,,
30,1,1,E2-703,6E,13.25,21.39,21.39,,,
31,1,1,E2-877,22,11.99,21,21,,,
32,1,1,E2-893,4H,51,61.782,61.782,,,
33,1,1,E2-906,6F,13.91,43.7195,43.7195,,,
34,1,1,E2-907,6E,13.25,23.01,23.01,,,
35,1,1,E2-909,6E,15.75,25.67,25.67,,,
