"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,26,"E2-733","6F",16.5,30.11,782.86
"2",3,12,"E2-404","2",12.3,17.95,215.4
"3",1,11,"E2-906","6E",13.91,17.89,196.79
"4",1,10,"E2-469","4",66.3,75.4798,754.798
"5",1,6,"E2-925","4P",45.39,53.57,321.42
"6",1,5,"E2-283","2",14.57,21.14,105.7
"7",1,5,"E2-877","22",12.47,20.97,104.85
"8",1,5,"E2-887","22",12.19,20.64,103.2
"9",1,5,"E2-906","6E",13.25,24.04,120.2
"10",1,4,"E2-468","3",45.39,55.42,221.68
"11",1,3,"E2-721","19",18.96,25.27,75.81
"12",1,3,"E2-721","19",18.96,29.59,88.77
"13",1,3,"E2-877","22",11.99,20.43,61.29
"14",2,3,"E2-877","22",11.99,22.16,66.48
"15",1,3,"E2-983","22",11.19,19.64,58.92
