"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",2,81,"LED-319-S00-30","BEVELED MINI",10.25,11.6139,940.7259
"2",1,40,"LED-230-H02-27","BEVELED 2.0",24.69,26.599,1063.96
"3",2,30,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,471.27
"4",1,12,"LED-230-S02-40","BEVELED 2.0",24.69,26.6101,319.3212
"5",1,12,"LED-240-S00-40","BEVELED 2.1",13.8,15.709,188.508
"6",1,11,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.725,227.975
"7",2,10,"LED-313-H00-3022","BEVELED MINI WGD",25.3,25.925,259.25
"8",1,8,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,120.36
"9",1,8,"LED-239-H00-30","BEVELED 2.2",13.8,15.7433,125.9464
"10",3,7,"LED-274-H00-30","SLIVERLED",10.82,12.3426,86.3982
"11",2,7,"LED-319-H00-35","BEVELED MINI",10.25,11.6139,81.2973
"12",1,6,"LED-240-H00-30","BEVELED 2.1",13.8,15.709,94.254
"13",2,4,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,62.836
"14",1,4,"LED-274-S00-27","SLIVERLED",10.82,12.3426,49.3704
"15",1,4,"LED-307-H00-35","BEVELED PRIMARY",2.8356,4.1327,16.5308
"16",3,3,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,47.127
"17",2,2,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,31.418
"18",1,2,"LED-319-H00-30","BEVELED MINI",10.55,11.6139,23.2278
"19",1,2,"LED-326-S00-30","BEVELED 2.2",9.9,11.809,23.618
"20",1,1,"LED-240-H01-35","BEVELED 2.1",13.8,15.709,15.709
"21",1,1,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,45.909
"22",1,1,"LED-274-S00-30","SLIVERLED",10.82,12.3426,12.3426
"23",1,1,"LED-293-S00-30","BEVELED 2.1",23.95,25.859,25.859
"24",1,1,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327,4.1327
"25",1,1,"LED-326-S00-35","BEVELED 2.2",9.9,11.809,11.809
"26",1,1,"LED-326-S00-40","BEVELED 2.2",9.9,11.7893,11.7893
