,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,2,81,LED-319-S00-30,BEVELED MINI,$10.25,$11.61,$940.73
2,6,57,LED-203-27-HI,NANO/MINI,$11.70,$12.39,$706.08
3,1,40,LED-230-H02-27,BEVELED 2.0,$24.69,$26.60,"$1,063.96"
4,2,36,LED-203-30,NANO/MINI,$11.70,$12.56,$452.20
5,1,36,LED-203-40,NANO/MINI,$11.70,$12.56,$452.20
6,2,30,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$471.27
7,2,15,LED-203-30-HI,NANO/MINI,$11.70,$12.39,$185.81
8,3,12,LED-203-27,NANO/MINI,$11.70,$12.56,$150.73
9,1,12,LED-230-S02-40,BEVELED 2.0,$24.69,$26.61,$319.32
10,1,12,LED-240-S00-40,BEVELED 2.1,$13.80,$15.71,$188.51
11,1,11,LED-219-S00-6022,BEVELED COLOR SELECT,$20.10,$20.73,$227.98
12,2,10,LED-313-H00-3022,BEVELED MINI WGD,$25.30,$25.93,$259.25
13,1,8,LED-204-S00-2722,BEVELED WGD,$14.42,$15.05,$120.36
14,1,8,LED-239-H00-30,BEVELED 2.2,$13.80,$15.74,$125.95
15,3,7,LED-274-H00-30,SLIVERLED,$10.82,$12.34,$86.40
