,# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
1,2,81,LED-319-S00-30,BEVELED MINI,$10.25,$11.61,$940.73
2,1,40,LED-230-H02-27,BEVELED 2.0,$24.69,$26.60,"$1,063.96"
3,2,30,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$471.27
4,1,12,LED-230-S02-40,BEVELED 2.0,$24.69,$26.61,$319.32
5,1,12,LED-240-S00-40,BEVELED 2.1,$13.80,$15.71,$188.51
6,1,11,LED-219-S00-6022,BEVELED COLOR SELECT,$20.10,$20.73,$227.98
7,2,10,LED-313-H00-3022,BEVELED MINI WGD,$25.30,$25.93,$259.25
8,1,8,LED-204-S00-2722,BEVELED WGD,$14.42,$15.05,$120.36
9,1,8,LED-239-H00-30,BEVELED 2.2,$13.80,$15.74,$125.95
10,3,7,LED-274-H00-30,SLIVERLED,$10.82,$12.34,$86.40
11,2,7,LED-319-H00-35,BEVELED MINI,$10.25,$11.61,$81.30
12,1,6,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$94.25
13,2,4,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,$62.84
14,1,4,LED-274-S00-27,SLIVERLED,$10.82,$12.34,$49.37
15,1,4,LED-307-H00-35,BEVELED PRIMARY,$2.84,$4.13,$16.53
