"","# of RMAs","Qty","E2","DIM_Type"
"1",4,86,"E2-404","2"
"2",6,71,"E2-526","2"
"3",1,51,"E2-527","SP"
"4",1,18,"E2-405","9"
"5",1,10,"E2-491","4"
"6",3,9,"E2-906","6E"
"7",2,9,NA,"2"
"8",1,8,"E2-622","2M"
"9",3,8,"E2-877","22"
"10",2,8,NA,"6E"
"11",1,4,"E2-468","3"
"12",2,4,"E2-887","22"
"13",1,4,"E2-907","6E"
"14",2,4,NA,"22"
"15",1,3,"E2-417","2"
"16",1,3,"E2-610","23X1"
"17",2,3,"E2-901","6A"
"18",1,3,NA,"1"
"19",1,2,"E2-283","2"
"20",1,2,"E2-389","2"
"21",2,2,"E2-486","3"
"22",1,2,"E2-527","2"
"23",1,2,"E2-698","6E"
"24",1,2,"E2-739","6E"
"25",1,2,NA,"4"
"26",2,2,NA,"4H"
"27",1,1,"E2-409","6A"
"28",1,1,"E2-721","19"
"29",1,1,"E2-890","4E"
"30",1,1,"E2-906","6F"
"31",1,1,NA,"3"
"32",1,1,NA,"7"
