"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",2,35,"E2-404","2",12.3,17.95,628.25
"2",1,30,"E2-926","4P",51,60.84,1825.2
"3",1,19,"E2-526","2",15.72,21.37,406.03
"4",2,13,"E2-767","2",15.6,30.18,392.34
"5",1,10,"E2-388","2",16.0242,23.2095,232.095
"6",1,6,"E2-488","3",45.39,57.2074,343.2444
"7",1,6,"E2-907","6E",13.25,24.04,144.24
"8",2,5,"E2-388","2",12.67,22.6,113
"9",1,5,"E2-963","D6E",14.17,22.3614,111.807
"10",1,4,"E2-885","4E",35.19,42.3,169.2
"11",1,3,"E2-469","4",66.3,75.4798,226.4394
"12",1,3,"E2-487","3",45.39,52.5111,157.5333
"13",2,3,"E2-906","6E",13.25,26.34,79.02
"14",1,2,"E2-703","6E",13.91,17.8584,35.7168
"15",2,2,"E2-877","22",11.99,21.56,43.12
"16",1,2,"E2-887","22",12.19,21.58,43.16
"17",2,2,"E2-907","6E",13.25,23.35,46.7
"18",1,2,"E2-907","6E",13.25,25.71,51.42
"19",1,2,"E2-983","22",11.7693,22.0264,44.0528
"20",1,1,"E2-284","2",23.46,31.47,31.47
"21",1,1,"E2-388","2",12.67,19.24,19.24
"22",1,1,"E2-418","3",45.39,57.2074,57.2074
"23",1,1,"E2-454","3",45.39,53.5209,53.5209
"24",1,1,"E2-468","3",45.39,53.4242,53.4242
"25",1,1,"E2-526","2",15.72,27.37,27.37
"26",1,1,"E2-527","2",14.31,20.57,20.57
"27",1,1,"E2-701","6E",13.91,24.4528,24.4528
"28",1,1,"E2-702","6E",13.25,40.09,40.09
"29",1,1,"E2-708","6F",13.25,22.71,22.71
"30",1,1,"E2-877","22",11.99,20.43,20.43
"31",1,1,"E2-877","22",11.99,22.16,22.16
"32",1,1,"E2-906","6E",13.25,24.04,24.04
"33",1,1,"E2-906","6E",13.91,24.8468,24.8468
"34",1,1,"E2-909","6E",15,28.15,28.15
"35",1,1,"E2-909","6E",15.75,25.67,25.67
