# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,,,E2,Qty
2,35,E2-404,2,$12.30,$17.95,$628.25,,,E2-404,35
1,30,E2-926,4P,$51.00,$60.84,"$1,825.20",,,E2-926,30
2,13,E2-767,2,$15.60,$30.18,$392.34,,,E2-767,13
1,10,E2-388,2,$16.02,$23.21,$232.10,,,E2-388,10
1,6,E2-488,3,$45.39,$57.21,$343.24,,,E2-488,6
1,6,E2-907,6E,$13.25,$24.04,$144.24,,,E2-907,6
2,5,E2-388,2,$12.67,$22.60,$113.00,,,E2-388,5
1,5,E2-963,D6E,$14.17,$22.36,$111.81,,,E2-963,5
1,4,E2-885,4E,$35.19,$42.30,$169.20,,,E2-885,4
1,3,E2-469,4,$66.30,$75.48,$226.44,,,E2-469,3
1,3,E2-487,3,$45.39,$52.51,$157.53,,,E2-487,3
2,3,E2-906,6E,$13.25,$26.34,$79.02,,,E2-906,3
1,2,E2-703,6E,$13.91,$17.86,$35.72,,,E2-703,2
2,2,E2-877,22,$11.99,$21.56,$43.12,,,E2-877,2
1,2,E2-887,22,$12.19,$21.58,$43.16,,,E2-887,2
