"","...1","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",1,2,35,"E2-404","2",12.3,17.95,628.25
"2",2,1,30,"E2-926","4P",51,60.84,1825.2
"3",3,1,19,"E2-526","2",15.72,21.37,406.03
"4",4,2,13,"E2-767","2",15.6,30.18,392.34
"5",5,1,10,"E2-388","2",16.0242,23.2095,232.095
"6",6,1,6,"E2-488","3",45.39,57.2074,343.2444
"7",7,1,6,"E2-907","6E",13.25,24.04,144.24
"8",8,2,5,"E2-388","2",12.67,22.6,113
"9",9,1,5,"E2-963","D6E",14.17,22.3614,111.807
"10",10,1,4,"E2-885","4E",35.19,42.3,169.2
"11",11,1,3,"E2-469","4",66.3,75.4798,226.4394
"12",12,1,3,"E2-487","3",45.39,52.5111,157.5333
"13",13,2,3,"E2-906","6E",13.25,26.34,79.02
"14",14,1,2,"E2-703","6E",13.91,17.8584,35.7168
"15",15,2,2,"E2-877","22",11.99,21.56,43.12
