# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost,,,LED,Qty
1,40,LED-230-S02-27,BEVELED 2.0,$24.69,$26.60,"$1,063.96",,,LED-230-S02-27,40
2,13,LED-240-S00-27,BEVELED 2.1,$13.80,$15.71,$204.22,,,LED-240-S00-27,13
2,9,LED-240-H00-27,BEVELED 2.1,$13.80,$15.71,$141.38,,,LED-240-H00-27,9
1,8,LED-319-H00-27,BEVELED MINI,$10.25,$11.61,$92.91,,,LED-319-H00-27,8
1,8,LED-319-S00-30,BEVELED MINI,$10.25,$11.61,$92.91,,,LED-319-S00-30,8
4,7,LED-240-S00-30,BEVELED 2.1,$13.80,$15.71,$109.96,,,LED-240-S00-30,7
3,5,LED-240-S00-35,BEVELED 2.1,$13.80,$15.71,$78.55,,,LED-240-S00-35,5
4,5,LED-307-H00-35,BEVELED PRIMARY,$2.84,$4.13,$20.66,,,LED-307-H00-35,5
1,2,LED-273-S00-RGB30,BEVELED 2.1,$44.00,$45.91,$91.82,,,LED-273-S00-RGB30,2
1,2,LED-307-H00-30,BEVELED PRIMARY,$2.84,$4.13,$8.27,,,LED-307-H00-30,2
1,2,LED-319-H00-30,BEVELED MINI,$10.55,$11.61,$23.23,,,LED-319-H00-30,2
2,2,LED-319-H00-35,BEVELED MINI,$10.25,$11.61,$23.23,,,LED-319-H00-35,2
2,2,LED-326-S00-35,BEVELED 2.2,$9.90,$11.81,$23.62,,,LED-326-S00-35,2
1,1,LED-204-H00-2722,BEVELED WGD,$14.43,$15.06,$15.06,,,LED-204-H00-2722,1
1,1,LED-240-H00-30,BEVELED 2.1,$13.80,$15.71,$15.71,,,LED-240-H00-30,1
