"","...1","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",1,1,40,"LED-230-S02-27","BEVELED 2.0",24.69,26.599,1063.96
"2",2,2,26,"LED-213-S00-30","BEVELED BASIC",11.7,13.609,353.834
"3",3,3,16,"LED-203-30","NANO/MINI",11.7,12.5612,200.9792
"4",4,2,13,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,204.217
"5",5,2,11,"LED-203-27-HI","NANO/MINI",11.7,12.3874,136.2614
"6",6,1,9,"LED-203-40","NANO/MINI",11.7,12.5612,113.0508
"7",7,2,9,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,141.381
"8",8,1,8,"LED-319-H00-27","BEVELED MINI",10.25,11.6138,92.9104
"9",9,1,8,"LED-319-S00-30","BEVELED MINI",10.25,11.6139,92.9112
"10",10,4,7,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,109.963
"11",11,1,6,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,81.654
"12",12,3,5,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,78.545
"13",13,4,5,"LED-307-H00-35","BEVELED PRIMARY",2.8356,4.1327,20.6635
"14",14,1,2,"LED-203-35","NANO/MINI",11.7,12.5612,25.1224
"15",15,1,2,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,91.818
