Drivers,,,,,,,,Engines,,,,,,
Month,2021,,2022,,? Qty,? Cost,,Month,2021,,2022,,? Qty,? Cost
,Qty,Cost,Qty ,Cost,,,,,Qty,Cost,Qty ,Cost,,
January,245,"$6,859.55",170,"$5,587.92",-75,"-$1,271.63",,January,280,"$3,988.84 ",183,"$3,004.24",-97,-$984.60
February,208,"$5,198.93",,,,,,February,198,"$3,160.05 ",,,,
March,401,"$10,940.78",,,,,,March,437,"$6,076.80 ",,,,
April,222,"$6,161.55",,,,,,April,302,"$3,788.79 ",,,,
May,176,"$5,771.81",,,,,,May,188,"$2,416.49 ",,,,
June,277,"$11,139.23",,,,,,June,3229,"$42,216.63 ",,,,
July,290,"$7,540.26",,,,,,July,334,"$4,489.06 ",,,,
August,215,"$6,048.51",,,,,,August,217,"$3,061.25 ",,,,
September,142,"$5,195.92",,,,,,September,310,"$4,639.89 ",,,,
October,222,"$5,857.13",,,,,,October,287,"$3,965.04 ",,,,
November,287,"$8,897.58",,,,,,November,175,"$2,355.76 ",,,,
December,732,"$19,391.53",,,,,,December,385,"$5,321.79 ",,,,
YTD,3417,"$99,002.78",170,"$5,587.92",,,,YTD,"6,342","85,480",183,"3,004",,
