# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,52,E2-804,21,6.32,15.93,828.36
1,50,E2-786,6E,13.25,22.72,1136
1,27,E2-526,2,15.72,40.11,1082.97
1,22,E2-906,6E,13.25,24.04,528.88
1,20,E2-698,6A,13.25,26.35,527
1,20,E2-707,2,14.56,25.64,512.8
1,12,E2-675,4H,51,55.32,663.84
2,12,E2-906,6E,13.25,23.56,282.72
2,6,E2-388,2,12.67,19.24,115.44
1,6,E2-702,6E,13.25,42.1,252.6
1,6,E2-907,6E,13.25,25.71,154.26
1,5,E2-698,6E,13.25,23.43,117.15
1,5,E2-702,6E,13.25,22.82,114.1
2,4,E2-388,2,12.67,18.28,73.12
1,4,E2-721,19,18.96,29.59,118.36
3,4,E2-887,22,12.19,20.64,82.56
2,3,E2-721,19,18.96,29.01,87.03
3,3,E2-877,22,11.99,21.56,64.68
1,3,E2-906,6E,13.25,23.35,70.05
1,2,E2-388,2,12.67,22.6,45.2
2,2,E2-404,2,12.3,18.87,37.74
1,2,E2-703,6E,13.25,21.39,42.78
1,2,E2-703,6E,13.25,22.82,45.64
1,2,E2-707,2,14.56,26.41,52.82
1,2,E2-877,22,11.99,21.38,42.76
1,1,E2-1013,23X2,40,62.42,62.42
1,1,E2-283,2,16.02,24.02,24.02
1,1,E2-404,2,12.3,22.24,22.24
1,1,E2-404,2,12.3,24.6,24.6
1,1,E2-454,3,45.39,54.47,54.47
1,1,E2-488,3,45.39,54.44,54.44
1,1,E2-527,2,14.31,20.65,20.65
1,1,E2-527,2,14.31,23.09,23.09
1,1,E2-532,6B,23,36.81,36.81
1,1,E2-702,6E,13.25,40.09,40.09
1,1,E2-732,6E,15,28.77,28.77
1,1,E2-887,22,12.19,22.41,22.41
1,1,E2-907,6E,13.25,23.35,23.35
1,1,E2-907,6E,13.25,24.04,24.04
