# of RMAs,Qty,LED,Product_Family,LED_Acct_Val,LEM_Acct_Val,Total_cost
3,74,LED-307-S00-30,BEVELED PRIMARY,2.84,4.13,305.62
5,62,LED-203-30,NANO/MINI,11.7,12.56,778.72
1,56,LED-293-H00-35,BEVELED 2.1,23.95,25.86,1448.16
2,41,LED-203-40,NANO/MINI,11.7,12.56,514.96
2,26,LED-203-30-HI,NANO/MINI,11.7,12.39,322.14
2,16,LED-203-27-HI,NANO/MINI,11.7,12.39,198.24
1,10,LED-203-35,NANO/MINI,11.7,12.56,125.6
1,10,LED-240-H00-30,BEVELED 2.1,13.8,15.71,157.1
3,7,LED-240-S00-27,BEVELED 2.1,13.8,15.71,109.97
1,5,LED-274-S00-30,SLIVERLED,10.82,12.34,61.7
1,4,LED-240-S00-35,BEVELED 2.1,13.8,15.71,62.84
3,3,LED-240-S00-30,BEVELED 2.1,13.8,15.71,47.13
2,2,LED-213-S00-35,BEVELED BASIC,11.7,13.61,27.22
1,2,LED-239-S00-30,BEVELED 2.2,13.8,15.63,31.26
1,2,LED-240-H01-35,BEVELED 2.1,13.8,15.71,31.42
1,2,LED-240-H01-40,BEVELED 2.1,13.8,15.71,31.42
1,2,LED-273-S00-RGB30,BEVELED 2.1,44,45.91,91.82
2,2,LED-307-S00-35,BEVELED PRIMARY,2.84,4.13,8.26
2,2,LED-326-S00-30,BEVELED 2.2,9.9,11.81,23.62
1,1,LED-204-H00-2722,BEVELED WGD,14.43,15.06,15.06
1,1,LED-240-H00-27,BEVELED 2.1,13.8,15.71,15.71
1,1,LED-281-S00-2722,SLIVERLED WGD,11.55,13.07,13.07
1,1,LED-313-H00-3022,BEVELED MINI WGD,25.3,25.93,25.93
1,1,LED-319-H00-27,BEVELED MINI,10.25,11.61,11.61
1,1,LED-336-S00-RGB30,BEVELED MINI,29.85,30.48,30.48
