"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",1,26,"E2-721","19",20.436,27.3442,710.9492
"2",1,25,"E2-733","6F",16.07,24.4646,611.615
"3",1,22,"E2-877","22",12.6109,16.027,352.594
"4",1,10,"E2-983","22",11.7693,22.0264,220.264
"5",1,9,"E2-887","22",12.19,20.64,185.76
"6",1,6,"E2-877","22",11.99,22.16,132.96
"7",1,5,"E2-906","6E",13.25,24.52,122.6
"8",1,4,"E2-404","2",12.3,17.95,71.8
"9",1,4,"E2-909","6E",15,28.15,112.6
"10",3,3,"E2-906","6E",13.25,23.01,69.03
"11",1,3,"E2-906","6E",13.25,23.49,70.47
"12",1,2,"E2-284","2",23.46,31.47,62.94
"13",2,2,"E2-908","6E",13.25,24.52,49.04
"14",1,2,"E2-988","28",25.99,50.7031,101.4062
"15",1,1,"E2-1013","23X1",40,61.94,61.94
"16",1,1,"E2-473","8",41,54.6296,54.6296
"17",1,1,"E2-707","2",14.56,25.42,25.42
"18",1,1,"E2-721","19",18.96,29.01,29.01
"19",1,1,"E2-804","21",6.32,15.48,15.48
"20",1,1,"E2-877","22",12.47,20.97,20.97
"21",1,1,"E2-901","6B",24.15,34.4832,34.4832
"22",1,1,"E2-906","6E",13.25,22.94,22.94
"23",1,1,"E2-906","6E",13.25,23.08,23.08
"24",1,1,"E2-906","6E",13.25,23.43,23.43
"25",1,1,"E2-906","6E",13.25,23.56,23.56
"26",1,1,"E2-906","6E",13.25,24.04,24.04
"27",1,1,"E2-906","6E",13.25,24.84,24.84
"28",1,1,"E2-906","6E",13.91,56.4034,56.4034
