"","# of RMAs","Qty","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","Total_cost"
"1",1,26,"E2-721","19",20.436,27.3442,710.9492
"2",1,25,"E2-733","6F",16.07,24.4646,611.615
"3",1,22,"E2-877","22",12.6109,16.027,352.594
"4",1,10,"E2-983","22",11.7693,22.0264,220.264
"5",1,9,"E2-887","22",12.19,20.64,185.76
"6",1,6,"E2-877","22",11.99,22.16,132.96
"7",1,5,"E2-906","6E",13.25,24.52,122.6
"8",1,4,"E2-404","2",12.3,17.95,71.8
"9",1,4,"E2-909","6E",15,28.15,112.6
"10",3,3,"E2-906","6E",13.25,23.01,69.03
"11",1,3,"E2-906","6E",13.25,23.49,70.47
"12",1,2,"E2-284","2",23.46,31.47,62.94
"13",2,2,"E2-908","6E",13.25,24.52,49.04
"14",1,2,"E2-988","28",25.99,50.7031,101.4062
"15",1,1,"E2-1013","23X1",40,61.94,61.94
