"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",1,26,"LED-213-S00-27","BEVELED BASIC",11.7,13.609,353.834
"2",1,25,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,392.725
"3",2,22,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,345.598
"4",3,15,"LED-326-S00-35","BEVELED 2.2",9.9,11.809,177.135
"5",1,13,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,204.217
"6",1,11,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,172.799
"7",1,10,"LED-203-27-HI","NANO/MINI",11.7,12.3874,123.874
"8",1,9,"LED-275-S35-2722","BEVELED 2.2",27.2,29.109,261.981
"9",1,9,"LED-319-H00-35","BEVELED MINI",10.25,11.6139,104.5251
"10",2,5,"LED-203-35","NANO/MINI",11.7,12.5612,62.806
"11",1,4,"LED-203-30","NANO/MINI",11.7,12.5612,50.2448
"12",1,3,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327,12.3981
"13",1,1,"LED-240-H00-30","BEVELED 2.1",13.8,15.709,15.709
"14",1,1,"LED-240-H01-35","BEVELED 2.1",13.8,15.709,15.709
"15",1,1,"LED-307-H00-27","BEVELED PRIMARY",2.8356,4.1644,4.1644
