"","E2","DIM_Type","E2_Acct_Val","SP_Acct_Val","SP_Price","# of RMAs","Qty"
"1","E2-885","4E",35.19,42.3,96,1,40
"2","E2-569","6B",85.28,93.85,220,1,21
"3","E2-469","4",66.3,76.59,113,2,13
"4","E2-733","6F",16.5,30.11,64,1,13
"5","E2-389","2",14.21,17.98,75,1,12
"6","E2-891","4E",35.19,42.3,90,1,12
"7","E2-702","6E",13.25,42.1,92,1,11
"8","E2-699","2",40.74,48.97,108,1,10
"9","E2-532","6B",23,30.95,70,1,9
"10","E2-906","6E",13.25,23.08,194,1,8
"11","E2-389","2",14.21,19.82,41,1,7
"12","E2-703","6E",13.25,21.39,45,2,7
"13","E2-887","22",12.19,20.64,39,2,7
"14","E2-469","4",66.3,72.92,133,1,5
"15","E2-721","19",18.96,25.27,50,1,5
"16","E2-468","3",45.39,51.68,114,1,4
"17","E2-702","6E",13.25,20.72,47,1,4
"18","E2-891","4E",35.19,42.82,94,1,4
"19","E2-906","6E",13.25,23.56,42,1,4
"20","E2-908","6E",13.25,24.52,56,2,4
"21","E2-944","4E",35.19,42.3,93,1,4
"22","E2-1013","23X1",40,53.94,112,1,3
"23","E2-468","3",45.39,54.67,123,1,3
"24","E2-526","2",15.72,21.37,46,2,3
"25","E2-532","6B",23,30.15,66,1,3
"26","E2-610","23X1",40,51.44,112,2,3
"27","E2-702","6E",13.25,40.09,80,1,3
"28","E2-721","19",18.96,29.59,66,1,3
"29","E2-906","6E",13.25,36.07,79,1,3
"30","E2-907","6E",13.25,24.04,48,1,3
"31","E2-283","2",14.57,26.67,52,1,2
"32","E2-404","2",12.3,16.57,38,1,2
"33","E2-404","2",12.3,17.95,38,2,2
"34","E2-526","2",15.72,21.2,46,1,2
"35","E2-527","2",14.31,18.08,38,1,2
"36","E2-732","6E",15,24,52,1,2
"37","E2-877","22",11.99,15.92,34,2,2
"38","E2-877","22",11.99,20.43,40,2,2
"39","E2-887","22",12.19,22.41,38,2,2
"40","E2-906","6E",13.25,23.43,43,2,2
"41","E2-906","6E",13.25,26.34,55,1,2
"42","E2-983","22",11.19,19.64,44,2,2
"43","E2-468","3",45.39,54.34,90,1,1
"44","E2-486","3",45.39,67.89,150,1,1
"45","E2-516","6A",23,30.19,66,1,1
"46","E2-516","6A",23,30.19,73,1,1
"47","E2-698","6E",13.25,29.64,45,1,1
"48","E2-698","6F",13.25,22.81,46,1,1
"49","E2-703","6E",13.25,22.82,64,1,1
"50","E2-708","6F",13.25,24.08,46,1,1
"51","E2-711","6F",13.25,21.49,45,1,1
"52","E2-735","19",18.96,28.24,45,1,1
"53","E2-767","2",15.6,30.18,63,1,1
"54","E2-783","6E",15,27.61,65,1,1
"55","E2-786","6E",13.25,22.96,41,1,1
"56","E2-844","D3",45.39,54.31,120,1,1
"57","E2-877","22",11.99,21.56,46,1,1
"58","E2-906","6E",13.25,22.94,43,1,1
"59","E2-906","6E",13.25,23.35,51,1,1
"60","E2-906","6F",13.25,23.44,44,1,1
"61","E2-907","6E",13.25,23.01,46,1,1
"62","E2-907","6E",13.25,37.94,75,1,1
"63","E2-909","6E",15,27.13,50,1,1
"64","E2-909","6E",15,28.15,61,1,1
