"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","LEM_Price"
"1",3,2817,"LED-203-30","NANO/MINI",11.7,12.56,30
"2",4,66,"LED-240-S00-27","BEVELED 2.1",13.8,15.71,40
"3",8,64,"LED-240-S00-30","BEVELED 2.1",13.8,15.71,40
"4",5,49,"LED-203-30-HI","NANO/MINI",11.7,12.39,35
"5",3,41,"LED-203-35","NANO/MINI",11.7,12.56,30
"6",2,29,"LED-203-27-HI","NANO/MINI",11.7,12.39,35
"7",3,27,"LED-240-S00-35","BEVELED 2.1",13.8,15.71,40
"8",1,21,"LED-218-S00-30","BEVELED",39.85,42.35,90
"9",4,16,"LED-240-H00-30","BEVELED 2.1",13.8,15.71,45
"10",2,13,"LED-204-S00-2722","BEVELED WGD",14.42,15.05,40
"11",3,8,"LED-203-27","NANO/MINI",11.7,12.56,30
"12",3,8,"LED-240-H00-27","BEVELED 2.1",13.8,15.71,45
"13",1,7,"LED-240-S00-40","BEVELED 2.1",13.8,15.71,40
"14",2,6,"LED-213-S00-30","BEVELED BASIC",11.7,13.61,30
"15",2,6,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.73,60
"16",2,6,"LED-273-S00-RGB30","BEVELED 2.1",44,45.91,90
"17",1,6,"LED-281-S00-2722","SLIVERLED WGD",11.55,13.07,30
"18",4,5,"LED-213-S00-35","BEVELED BASIC",11.7,13.61,30
"19",1,5,"LED-307-S00-30","BEVELED PRIMARY",2.84,4.13,20
"20",1,4,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.93,60
"21",2,3,"LED-212-S00-6022","BEVELED 2.1",21.5,23.41,75
"22",1,3,"LED-293-S00-27","BEVELED 2.1",23.95,25.86,65
"23",2,3,"LED-293-S00-35","BEVELED 2.1",23.95,25.86,65
"24",1,2,"LED-240-H01-35","BEVELED 2.1",13.8,15.71,45
"25",2,2,"LED-307-S00-35","BEVELED PRIMARY",2.84,4.13,20
"26",1,2,"LED-319-H00-30","BEVELED MINI",10.55,11.61,40
"27",2,2,"LED-319-S00-30","BEVELED MINI",10.25,11.61,35
"28",1,1,"LED-204-H00-3022","BEVELED WGD",14.43,15.23,45
"29",1,1,"LED-207-H70-3022","BEVELED WGD",30.1,30.64,80
"30",1,1,"LED-213-S00-40","BEVELED BASIC",11.7,13.61,30
"31",1,1,"LED-313-H00-3022","BEVELED MINI WGD",25.3,25.93,56
"32",1,1,"LED-319-S00-27","BEVELED MINI",10.25,11.61,35
"33",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.61,35
"34",1,1,"LED-326-S00-30","BEVELED 2.2",9.9,11.81,35
"35",1,1,"LED-336-S00-RGB30","BEVELED MINI",29.85,30.48,35
