,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost,,,,,
1,2,52,E2-963,D6E,14.17,22.3614,1162.7928,,,,,
2,1,40,E2-887,22,12.19,20.64,825.6,,,,,
3,1,37,E2-736,6E,15.75,59.1174,2187.3438,,,,,
4,1,28,E2-906,6E,13.91,56.4034,1579.2952,,,,,
5,1,13,E2-901,6A,24.15,41.2628,536.4164,,,,,
6,1,12,E2-703,6E,13.25,22.82,273.84,,,,,
7,1,10,E2-907,6E,13.25,23.35,233.5,,,,,
8,2,4,E2-887,22,12.19,16.13,64.52,,,,,
9,1,3,E2-1081,7T,34.33,44.907,134.721,,,,,
10,1,3,E2-284,2,23.46,31.47,94.41,,,,,
11,1,3,E2-488,3,52.02,56.0144,168.0432,,,,,
12,1,3,E2-877,22,12.47,20.97,62.91,,,,,
13,1,3,E2-906,6E,13.25,23.43,70.29,,,,,
14,1,3,E2-907,6E,13.91,24.8171,74.4513,,,,,
15,1,2,E2-468,3,45.39,55.42,110.84,,,,,
16,1,2,E2-610,23X2,40,51.92,103.84,,,,,
17,1,2,E2-702,6E,13.25,40.09,80.18,,,,,
18,1,1,E2-516,D6A,24.15,53.8162,53.8162,,,,,
19,1,1,E2-838,21,6.9038,10.8932,10.8932,,,,,
20,1,1,E2-887,22,12.19,22.41,22.41,,,,,
21,1,1,E2-894,4H,51,62.4108,62.4108,,,,,
22,1,1,E2-906,6E,13.91,24.9911,24.9911,,,,,
23,1,1,E2-906,6F,13.91,22.9593,22.9593,,,,,
24,1,1,E2-963,6E,14.17,21.5332,21.5332,,,,,
25,1,1,E2-963,6F,14.17,24.9664,24.9664,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,228,,,,,8006.9739,,228,,,"$8,006.97"
